block2vtd,block_GEOID
987,250039201021019
1752,250039261001041
1927,250039311002021
1752,250039261001071
1752,250039261001008
651,250039008004020
723,250039004004002
726,250039004003027
1511,250039141003014
1683,250039353003056
1677,250138023002012
1737,250138025005017
1737,250138025005023
179,250138124012004
1729,250138127022010
304,250138113014003
1813,250039323002042
1784,250039314001063
1945,250039111003018
1752,250039261003034
1512,250039313001003
1862,250039322002133
1862,250039322002077
1195,250039353003012
988,250039201013005
1862,250039322003035
1862,250039322002035
1862,250039322002079
204,250039221003021
726,250039004003010
1836,250039131007020
1974,250039343001007
443,250138121012028
180,250138122013014
503,250138104143014
503,250138104143016
398,250039251021067
399,250110411001002
1815,250110401001056
1918,250199502012008
1918,250199502011013
1918,250199501001040
1918,250199505001046
2023,250110402003038
403,250110412001020
756,250110407014012
383,250110412002012
1918,250199501002021
1918,250199503071037
1918,250199503071010
1802,250251401051019
1913,250250921013006
1932,250250601013001
2107,250251801014003
2036,250250603013008
1985,250250101041003
2116,250251202012009
2034,250250608002003
1849,250251010023012
1936,250250704021012
2005,250250304002002
756,250110407021023
666,250110407012011
1939,250250406001047
12,250251604002011
2019,250251803013005
2128,250250820003004
2128,250250819001008
2042,250250803001000
1828,250251301013000
2040,250250907004000
1872,250259803001011
1981,250250305001012
1878,250250819004000
1774,250251006013010
1914,250250606011011
2129,250250815001002
2117,250250612011006
2056,250250907003001
1918,250199505001067
1787,250214571002009
1390,250214031003011
600,250214202025014
667,250214177033006
1075,250214012011003
826,250214164001016
1374,250214033003000
1681,250214142003004
2042,250250804011004
1802,250251401051012
788,250251706011007
1914,250250606011012
2035,250250605013003
720,250251701022003
2014,250251105021013
724,250251703012015
1764,250250923001005
1827,250251106012004
721,250251701021004
22,250251606021007
338,250214023001004
164,250214044004004
1125,250214081021023
1867,250214412021009
2055,250250906002013
715,250251707012004
2006,250250203041004
2026,250250104053002
21,250251606024000
1844,250251301015000
1970,250250103002003
1881,250250303021032
89,250214401012029
2001,250250404012022
1936,250250612021004
1988,250251304062003
1790,250251004004001
1909,250250909011011
2062,250250812002003
1950,250250509013006
1951,250250502001000
1915,250259812022002
1948,250250503003005
1948,250250503003002
2084,250250903002003
2006,250250302002003
21,250251606023001
3,250214196021010
674,250214203013010
5,250251602002006
2110,250250008041012
1881,250250701021003
2008,250250107021012
2042,250250801001041
2043,250250817005003
1821,250251104011005
1891,250250007031005
1935,250250701042048
789,250251703011030
1894,250259815011053
1935,250250701041029
1675,250214223033028
1196,250214422032013
78,250214061024014
753,250214163003006
975,250214135003008
1041,250214135002016
1577,250214003001006
1127,250214081022014
2162,250251705021008
2013,250250503001014
718,250251704001006
1760,250251001006000
1800,250251403002007
2019,250251802001007
1359,250214091022033
1701,250214224023019
338,250214024005005
822,250214164006013
667,250214177042022
1703,250214228001008
1155,250214004021010
828,250214132021005
822,250214164003014
1627,250214225022011
1047,250214121003018
1574,250214007002004
1634,250214227002010
1193,250214421031000
158,250214043014004
598,250214202011007
1154,250173681013004
1167,250173681021018
1113,250173411021004
1114,250173411013015
700,250173738001021
863,250173701031001
1560,250173354001001
1384,250173362013010
194,250173631032011
1129,250173164004007
531,250173515002000
1578,250173521022012
283,250214151031002
1697,250214562002026
1079,250214010002005
816,250214071021022
158,250214043014005
1685,250214563021002
335,250214024005025
830,250214134012011
1686,250214563012015
1052,250214431051029
1564,250214226004006
164,250214044002013
1196,250214421011008
101,250214401011001
655,250214179013006
158,250214043013006
590,250214174003003
1688,250214227004008
1688,250214227002000
590,250214174001006
1043,250173164003000
1172,250173688003010
148,250173231012018
473,250173221002009
1684,250214564023018
1132,250214004011004
336,250214021021019
1392,250214035012015
1869,250214051003007
661,250214164004009
1389,250214031005004
807,250214176021004
1127,250214081022008
817,250214181013006
1418,250214422031006
661,250214172012006
661,250214172012013
1687,250214563012010
1076,250214001005002
816,250214071022022
334,250214021013033
335,250214024003008
630,250214203023005
55,250214104001021
821,250214161021053
392,250173261023005
453,250173114001004
320,250173613001008
525,250173121003005
535,250173511012008
1168,250173681022002
1453,250173424011002
1534,250173594005000
983,250173336022011
903,250173336011032
156,250173661001006
42,250173837004008
1980,250173882004029
1546,250173531011016
73,250173241022035
852,250173510022002
1832,250251303005006
1847,250251010021005
16,250251605024005
1900,250250101043007
2090,250250918003003
1826,250251302001005
471,250173223003008
581,250214131006005
1392,250214035012026
57,250214103002011
54,250214104004015
1417,250214421042019
1869,250214051003003
1049,250214123002008
1318,250214034002006
387,250173261021026
2081,250173621001002
145,250173371012007
1008,250173331001012
1941,250173311023027
320,250173613001011
501,250173102005007
1058,250138132082006
1995,250138130021010
1944,250138138013000
1496,250138002011008
1917,250138135003007
1504,250138014011017
274,250010140022007
278,250010108001007
219,250010131004007
1514,250010102063065
527,250173122001007
739,250173162012012
321,250173612002005
1552,250277574001008
1959,250277241001016
1970,250250103002000
2044,250250814001000
2124,250250811021001
