block2vtd,block_GEOID
957,240217510033039
949,240217510021001
1094,240098611002007
1087,240098601031000
887,240217516001031
933,240217518021010
893,240217513013049
902,240217521022033
894,240217517011021
961,240217517023016
1732,240037301023042
1674,240037509002047
1747,240037013022007
1689,240037021004018
1863,240010020005020
1873,240010023004006
1869,240010017003052
1849,240010015031011
1872,240010020004027
1730,240037313132004
1821,240037070013015
1670,240037305081007
1792,240037510002014
968,240217676002013
895,240217753021023
888,240217707002006
937,240217529001001
917,240217521022009
892,240217510042001
962,240217528012004
927,240217707002034
1107,240098604031005
1103,240098607021032
968,240217516001014
969,240217528011008
961,240217517011002
961,240217517011017
1100,240098604031013
1089,240098610033023
1093,240098609021007
1093,240098609021046
1092,240098603001011
903,240217508011021
944,240217522021011
968,240217676001020
968,240217676001037
928,240217519051030
963,240217753023001
895,240217753026018
1094,240098605021046
1104,240098607011024
935,240217530024007
912,240217402004012
1086,240098604042019
1092,240098603001014
1106,240098608012008
932,240217512024018
949,240217510021006
953,240217521022007
929,240217523012000
890,240217523033009
966,240217508024006
959,240217513012028
945,240217675003011
958,240217523021031
956,240217506001014
1106,240098608012004
892,240217525022001
964,240217512031002
896,240217518012009
941,240217517021017
954,240217528022032
1864,240010019002040
1874,240010010001042
1873,240010010001039
1861,240010001002017
924,240217507012004
956,240217501001011
892,240217510041039
1867,240010018003008
1864,240010019001018
1845,240010012001013
1873,240010010001011
1846,240010014012026
956,240217506003000
956,240217506002016
925,240217505052001
968,240217676002045
890,240217525021021
945,240217675003005
895,240217754001001
960,240217722002011
936,240217519061000
970,240217522012042
953,240217519042022
937,240217668003002
890,240217525021009
988,240150313023016
995,240150309071015
979,240150312021037
976,240150309085009
975,240150306011013
315,240338027001030
493,240338035091005
450,240338056013002
262,240338014051026
360,240338074052021
277,240338039003012
494,240338066013005
494,240338066012007
224,240338036012002
227,240338035261000
374,240338021042000
370,240338028051011
406,240338028042005
303,240338005114000
345,240338023011027
374,240338021061003
372,240338060001031
399,240338017043002
408,240338071021015
436,240338004022016
261,240338035143011
215,240338022044017
510,240338035241008
375,240338014091001
222,240338020021008
429,240338069002008
439,240338074042060
353,240338036072004
343,240338073052014
213,240338041012001
398,240338020024005
441,240338002112009
260,240338008002008
225,240338036051019
389,240338074043012
385,240338029013021
301,240338044001015
382,240338019072010
456,240338004111018
266,240338046001033
1756,240037014002013
1741,240037312101008
1734,240037313092009
1757,240037011011006
1807,240037312052006
1772,240037305092006
409,240338074083047
351,240338004103014
425,240338014071004
395,240338058012010
300,240338005182014
370,240338028053013
1087,240098601032000
1091,240098610032003
363,240338009002026
274,240338035081001
320,240338002161011
339,240338002101002
336,240338050003000
409,240338074081005
326,240338005201001
256,240338010062008
293,240338043002011
305,240338013113032
218,240338014041037
399,240338017043003
1810,240037310032032
1659,240037502041031
1730,240037313131005
1808,240037503002012
2031,240276012041047
1856,240010016001030
1874,240010023001019
1847,240010011002005
927,240217526023029
924,240217507011007
1094,240098611002031
1091,240098610031009
924,240217513013011
895,240217754002006
966,240217508052033
926,240217508022009
315,240338027002007
400,240338024062001
481,240338036064001
446,240338067061010
313,240338018081004
287,240338012171001
1937,240276022024017
1943,240276023062002
1943,240276023061020
2018,240276069042007
389,240338074083012
370,240338028051008
247,240338022033012
247,240338021032007
453,240338004022004
494,240338066011014
1758,240037021002000
1730,240037313122020
1769,240037511022030
1767,240037066004030
1916,240276012061012
1820,240037313031000
1797,240037517001008
936,240217519061002
950,240217522064022
391,240338018091008
1837,240037401081007
1683,240037022061001
1793,240037510001008
1656,240037025004013
317,240338002132036
243,240338075002012
1874,240010023002027
1869,240010017003046
1857,240010023002036
1852,240010006002006
1850,240010008001036
1839,240010014012036
1845,240010011001020
1855,240010010001071
1867,240010019001028
1864,240010019002020
205,240358101002061
206,240358102002017
199,240358103003041
1659,240037501021037
1818,240037501021052
1930,240276012032006
1949,240276022021001
1941,240276023043009
1992,240276069052032
1921,240276011071003
313,240338018073004
508,240338019071006
330,240338019081002
344,240338018022016
296,240338019073002
286,240338040022002
289,240338005151003
326,240338005192002
1871,240010015033001
1850,240010008001089
1903,240199709002027
1898,240199708042017
1891,240199705002003
131,240419605011046
193,240378759042004
163,240378758031042
178,240378758034001
163,240378758031047
448,240338036132007
280,240338065011024
327,240338005111001
454,240338074082005
341,240338074053015
488,240338036131001
1947,240276027002007
1962,240276030032021
1995,240276066032005
2000,240276066034008
2021,240276012032067
1982,240276054014004
1935,240276023022009
989,240150312012052
974,240150305073004
987,240150309032027
988,240150313024006
988,240150313021016
1960,240276030042042
1962,240276030032015
1922,240276011051014
2005,240276066073000
1965,240276040031012
1931,240276012041003
169,240378759061001
188,240378762004053
1943,240276023061024
987,240150309033015
1560,245102704024005
1556,245102709031000
1318,240054048001000
1282,240054915003013
1333,240054024091002
1112,240054411012007
1188,240054923003005
1961,240276030011005
2020,240276067081012
2020,240276067061006
2008,240276067041004
1984,240276054013003
2024,240276069013004
2017,240276068033005
1674,240037304013023
1307,240054909002000
1226,240054410001009
1306,240054903031003
1223,240054509001003
1277,240054304001018
1150,240054086014004
1184,240054035002012
1324,240054401002004
1221,240054015051008
1170,240054015042008
1242,240054014001012
1537,245102602025001
1553,245102709032006
1361,245101303003007
1400,245101510003009
1578,245102720071013
1432,245101102004009
1601,245102707011002
580,240317015091005
670,240317009021009
724,240317006111011
712,240317006101015
733,240317003092000
392,240338036022019
349,240338010031020
237,240338010043012
481,240338036061017
504,240338004011002
234,240338004091002
390,240338001052000
390,240338001052002
320,240338002161005
413,240338012172013
312,240338067082002
1840,240010013002027
1855,240010010001020
1862,240010022003058
1842,240010002003024
1873,240010010001023
1689,240037021004024
1720,240037504002004
688,240317008241016
645,240317011024006
717,240317007201011
554,240317022001021
640,240317012201016
692,240317007282022
707,240317007063021
541,240317048061011
765,240317003171096
628,240317032232034
610,240317034042001
1844,240010001003062
1052,240135052052006
1056,240135142012015
1083,240135061011003
1083,240135061011005
1067,240135110002024
1084,240135062004004
1079,240135020002002
1073,240135076013010
1061,240135090021017
1854,240010006001028
1852,240010008001005
1051,240135052083000
983,240150302003000
985,240150309042027
974,240150305052017
985,240150301001002
973,240150305012016
182,240378753002013
174,240378761022007
163,240378759051003
182,240378753001050
188,240378762004029
545,240317045012001
755,240317003161015
736,240317013041014
718,240317013122015
703,240317013124016
707,240317008372004
577,240317012142003
721,240317007233002
755,240317003153019
518,240317054001015
518,240317054002019
593,240317060073014
736,240317013041010
644,240317010012016
639,240317034022018
530,240317057021012
753,240317003142010
609,240317012022002
683,240317014071020
661,240317006152003
663,240317008393018
670,240317009031004
719,240317007063023
620,240317035012020
620,240317035014008
512,240317055021007
512,240317055021024
708,240317008221000
707,240317007241002
666,240317010042007
666,240317010044004
524,240317025012000
629,240317015071017
576,240317012151001
993,240150307001018
995,240150309072044
972,240150305072012
972,240150305032003
980,240150314002007
2037,240199709002238
1891,240199707024001
988,240150313021008
993,240150307003015
995,240150309071045
1897,240199708042067
1912,240199708041034
1888,240199707022034
1915,240199709001113
1885,240199708041115
1652,240037063022008
1735,240037302061013
1784,240037014002000
1825,240037403054000
1784,240037012011006
12,240479509001024
1913,240199709001018
1909,240199702003032
1883,240199708041074
1884,240199709002053
1718,240037512002036
1668,240037401033001
1746,240037080044022
1769,240037511022037
1769,240037511022038
135,240419601001009
1718,240037401032002
1740,240037313071003
1724,240037501014010
514,240317017013009
3,240479514001032
878,240230005021014
876,240230005022000
18,240479512003102
1,240479508004006
1721,240037508032010
1876,240199701002056
1909,240199702002035
1896,240199704001015
1213,240054044043001
1150,240054086014007
1244,240054205001000
1166,240054207021029
1243,240054007021005
589,240317060112000
729,240317003171078
591,240317012222000
586,240317012232002
727,240317013071003
734,240317008352004
544,240317041003021
765,240317003171067
546,240317040001013
647,240317009011016
602,240317037023001
670,240317009022006
562,240317046004009
562,240317046003016
537,240317046003003
727,240317013121003
691,240317008293024
544,240317027005001
208,240358109012025
17,240479500002069
18,240479512003047
1751,240037026021026
11,240479509002034
20,240479515003006
1736,240037312061015
1658,240037026014007
1767,240037067001004
1280,240054032021009
1226,240054410002021
1266,240054505041011
1268,240054011022001
1338,240054111022006
1195,240054927001036
1280,240054032021016
1162,240054307003008
1280,240054032021017
1245,240054510002005
1608,245102720031002
17,240479503002034
695,240317005001065
515,240317017011002
676,240317014271014
618,240317034012007
582,240317042002009
765,240317003171031
765,240317003171044
513,240317053001030
690,240317007282008
692,240317007321005
762,240317004002031
695,240317005001063
637,240317012201009
767,240317002063004
634,240317015034009
682,240317007184017
765,240317003101002
610,240317037012010
670,240317009021002
1737,240037313061000
1776,240037410002012
1659,240037502041058
1791,240037509003007
1731,240037312091012
1764,240037065001004
17,240479501001039
5,240479512002052
20,240479515005035
1723,240037502043003
1725,240037511021017
1665,240037508013013
1886,240199704001008
1896,240199704001024
1894,240199706001040
1889,240199706001008
1750,240037012021020
1695,240037313034007
1767,240037066001018
1593,245102707022010
1594,245102707022014
1458,245100601001001
1448,245100202001004
1376,245101503003010
1383,245101508001002
1231,240054906022008
1149,240054042023002
1216,240054102001003
1229,240054033002002
1321,240054925002000
1139,240054309001001
1221,240054015041004
1168,240054013022003
1154,240054083043001
1214,240054112021002
1268,240054011022010
1309,240054513001017
1469,245102606052030
1591,245102708025008
1891,240199704003023
134,240419602012006
135,240419601002062
130,240419605011011
826,240253016022004
795,240253038011029
782,240253042024003
833,240253064005008
810,240253034001021
802,240253034003012
781,240253041011022
781,240253041011015
1181,240054026042024
127,240430010012030
88,240430101001038
88,240430101001046
2036,240399302001084
876,240230006021057
871,240230002002013
111,240430106001013
92,240430115011018
93,240430115012013
97,240430115022000
101,240430004002004
93,240430115011064
104,240430109022040
209,240358108004014
199,240358103003032
207,240358106001015
202,240359901000005
869,240230002002028
15,240479507002020
2,240479506003008
68,240450104001020
74,240450108003030
155,240399301022047
23,240450107013064
23,240450107013041
27,240450106043021
62,240450105032006
74,240450108004001
880,240230003002106
720,240317007301006
696,240317006131011
517,240317048031003
512,240317048032003
737,240317005001052
537,240317047004002
576,240317012151000
765,240317003172018
692,240317007322004
603,240317032091002
553,240317051002006
528,240317027002010
634,240317015034016
520,240317055022015
719,240317007062004
535,240317051002022
521,240317059022010
645,240317009041000
752,240317001041002
737,240317005002008
1077,240135076011010
1066,240135042011004
1066,240135042014014
1060,240135110002026
1080,240135082004040
1084,240135061022028
1083,240135061013028
1074,240135082004010
1058,240135051011002
1074,240135082003032
1074,240135082004011
206,240358102001007
208,240358109012017
715,240317006143015
544,240317041002000
721,240317007234008
23,240450107013052
145,240399302002004
153,240399301013025
152,240399308001073
144,240399308003016
58,240450107033008
149,240399305005037
155,240399301021030
531,240317056011000
724,240317006111005
1044,240119554001007
1001,240178510041003
1013,240178509021009
1026,240178507131006
103,240430108033001
96,240430116001025
776,240299504001057
883,240230007002016
74,240450108003074
646,240317014174000
1041,240178503002012
1004,240179900000004
182,240178512001028
1031,240178502011000
1035,240178508013006
1002,240178510011013
1498,245102503032010
1499,245102501032022
1395,245102801025025
1394,245102802005017
1355,245101206002005
1481,245102504013015
1619,245100202002008
50,240450101012009
1198,240054034024002
1249,240054924024008
1161,240054113094010
1133,240054407012001
1207,240054907031001
1323,240054516001023
1341,240054502001015
1132,240054206001009
885,240230007001025
1135,240054408001016
1321,240054004001007
1246,240054409002011
1259,240054046002001
1305,240054088001019
1207,240054907032004
1160,240054905002027
1584,245102719001004
1478,245102505003035
1479,245102504023006
1533,245100801011023
1483,245102502041002
1607,245102715011013
1597,245102705022017
870,240230002002009
870,240230002001054
874,240230003002088
873,240230003002034
109,240430106002026
110,240430107003026
123,240430006011016
115,240430104022046
880,240230004001013
879,240230005011051
770,240299502005026
769,240299501003023
81,240430005001011
1042,240119556004013
1042,240119556003005
1049,240119550001036
1047,240119552012069
1169,240054523002035
113,240430104022034
112,240430104011035
96,240430116001074
99,240430111003007
127,240430010021002
83,240430114002038
106,240430116001002
1146,240054902002010
1352,245101903001023
1466,245102606055001
1465,245102607001020
1558,245102703014002
1523,245100902002006
1458,245100601004002
1493,245100908003024
1524,245100902001017
1524,245100902001020
1394,245102802002005
110,240430107004017
1490,245100807001010
1021,240178507122000
1009,240178509041023
1010,240178507134008
1022,240178507113010
1003,240178505001014
1007,240178513011052
1560,245102704024002
1584,245102719001008
1609,245102720041002
1584,245102715012019
1171,240054113033015
806,240253011021008
1183,240054025061014
1295,240054081003017
1147,240054087042001
776,240299504001032
829,240253013024002
844,240253036031009
770,240299502001051
772,240299502004017
776,240299504001039
850,240253028011007
781,240253041011017
809,240253029012000
811,240253029022002
790,240253061003038
796,240253062003011
1064,240135077021009
120,240430111001025
79,240430111004004
1343,240054113083008
1161,240054113093010
1139,240054309001035
1207,240054907011002
1193,240054070022069
1276,240054070022039
1277,240054304001025
1465,245102609001018
1391,245102804013009
1391,245102804013007
1500,245102501022017
1592,245102708031025
1593,245102706006011
1498,245102501032028
1606,245102712006025
1068,240135078013009
1070,240135076021004
105,240430112022009
110,240430107002025
108,240430117002008
99,240430007001006
99,240430007002001
99,240430007002010
124,240430108032006
1066,240135042011001
1073,240135076013041
1077,240135078013018
1277,240054304001029
1181,240054026041023
1198,240054034024004
1268,240054012001012
1184,240054035001008
1260,240054060001020
1147,240054087042013
1211,240054087021015
1390,245102804021031
1389,245102804034013
1536,245102604022002
1569,245102714001031
1507,245102303002002
1578,245102720071017
1512,245102101002023
1293,240054089001000
1199,240054407022009
1155,240054044022005
1326,240054114061003
1208,240054114102002
1264,240054524002029
1475,245102604012015
1370,245101206001002
