block2vtd,block_GEOID
391,230039511002023
282,230259657002007
387,230259670001040
564,230259653021569
530,230099655042008
475,230099659001019
582,230099655041012
240,230099651003080
352,230099651002175
212,230259657001002
211,230259660003029
593,230259653021530
564,230259653021277
596,230259653024196
520,230039507002099
520,230039507002040
563,230259653021421
213,230259666012005
388,230259669001025
595,230259653023430
378,230259664001044
563,230259653021432
563,230259653021457
564,230259653021500
213,230259667013006
388,230259669001019
210,230259658001005
238,230259657002049
591,230259653023100
593,230259653021611
378,230259664002038
349,230099653005015
351,230099652001035
215,230099651002068
112,230270470001022
126,230270420003012
173,230270430002021
121,230270410002032
116,230270450005028
69,230110200001009
69,230110200001018
170,230110241024010
74,230110101003016
94,230110230021001
70,230110210002032
170,230110242012024
170,230110241024012
193,230159755001002
195,230159751003013
120,230270450002025
529,230159756002037
186,230159758003024
130,230270460024021
186,230159758001022
193,230159755001014
235,230159757001039
272,230159752003026
272,230159752001002
388,230259669002026
564,230259653021499
211,230259660002037
596,230259653024156
563,230259653021334
384,230259663002062
238,230259657002048
67,230110220003009
68,230110106021015
88,230110155001030
92,230110108041006
71,230110104002032
94,230110230011002
71,230110104002001
71,230110104002023
87,230110150001008
94,230110230011001
84,230110250013010
579,230299551003128
186,230159758002003
119,230270450006042
275,230299557001037
283,230099665003050
608,230099657001015
475,230099659005005
111,230270440001040
121,230270410001020
111,230270440001011
192,230159753003046
438,230299551003282
222,230299559002003
130,230270460023000
124,230270450004022
116,230270450005049
114,230270440003002
172,230270430003065
172,230270430004031
125,230270420006015
218,230299561001046
220,230299562002007
229,230299554002033
94,230110230014005
79,230110120001013
77,230110145001014
66,230110160003025
82,230110155004032
94,230110230021006
67,230110220002005
170,230110241025000
170,230110241022020
66,230110250012003
92,230110108042009
448,230179654002017
276,230299563001031
575,230299551004272
83,230110170002011
93,230110190002044
93,230110190002055
84,230110250011009
88,230110155001033
84,230110250012004
82,230110155004028
206,230179651005239
585,230179651005057
456,230179666001036
218,230299561001045
253,230299553002043
579,230299551004293
259,230299561002038
254,230299558004009
254,230299558004012
218,230299561001003
579,230299551004134
290,230039516003064
603,230179651005103
585,230179651005098
450,230179658001012
450,230179658001000
603,230179651005215
568,230179651002005
523,230039523003007
294,230039503005058
93,230110190002009
561,230259653024038
210,230259658001061
563,230259653021080
213,230259667021009
213,230259666021023
85,230110106011006
79,230110120002023
91,230110140013019
93,230110190002037
193,230159755001041
232,230159754002012
114,230270440003017
124,230270450004003
234,230159751001029
244,230159751004006
185,230159754001012
116,230270450005032
130,230270460023036
106,230270450003030
220,230299562003035
597,230299559003092
579,230299551004187
459,230179658003006
442,230179662004000
139,230310200012029
165,230310302013003
165,230310302013001
136,230310225001018
537,230310252042001
132,230310235011014
178,230299565002001
573,230299551003040
251,230299564001075
276,230299563001044
551,230299558002025
598,230299559003043
258,230299900000007
599,230299559003208
499,230190265001034
334,230139706002003
505,230190280001015
590,230190290001563
20,230010208023000
11,230010415005011
6,230010105001011
23,230010201002006
24,230010205005001
23,230010201002004
6,230010105001009
6,230010105002007
476,230179668002049
273,230179651001051
316,230179657001031
456,230179666001051
278,230179665005015
456,230179666002041
145,230310230001038
165,230310302013004
537,230310251003001
157,230310061042001
141,230310370003039
160,230310340032020
151,230310225003015
541,230310252064004
540,230310252051002
158,230310235013023
139,230310200021045
136,230310225001015
169,230239705001007
99,230239704004031
97,230239702003013
103,230239703022027
105,230239704002025
102,230239701003005
13,230010420003042
15,230010203031026
5,230010104001022
3,230010108001000
22,230010465001034
32,230050045012012
42,230050015002018
36,230050015001004
52,230050013002001
39,230050140012043
31,230050025011017
42,230050020012011
32,230050045022016
206,230179651005255
208,230179669001063
452,230179655002014
287,230179660011038
447,230179651001023
208,230179669001030
279,230179654001016
449,230179664021002
278,230179665005022
449,230179664012003
456,230179666001052
209,230179666004021
452,230179655001005
456,230179666001021
572,230179651003020
449,230179664021007
278,230179665003017
541,230310252061014
538,230310252032005
540,230310251001017
458,230179664011004
442,230179662002005
343,230139704012031
569,230179651005038
450,230179658002018
569,230179651005037
585,230179651005014
479,230179660021112
142,230310270001010
539,230310254001033
143,230310280011032
134,230310260002055
155,230310052001030
280,230179661001041
317,230179668001054
452,230179656003005
138,230310310001010
139,230310200022001
488,230219603021826
377,230219605001013
377,230219605001007
344,230219608005022
549,230219604001231
450,230179658001020
459,230179658003002
455,230179666003027
326,230179663002023
330,230139711004000
332,230139711003034
319,230179667001069
209,230179666003069
158,230310235013038
166,230310302042019
143,230310280042018
160,230310340052002
167,230310303002023
142,230310270002037
540,230310252052014
287,230179660011011
136,230310225001060
133,230310290001011
144,230310380014024
509,230190225001041
590,230190290001654
400,230190130002007
590,230190290001202
418,230190020001009
600,230190255002096
153,230310360042002
145,230310230002045
154,230310051002015
594,230219603021595
182,230219607001019
594,230219603021945
580,230219603021967
255,230219605002062
337,230219606003023
184,230219604001136
393,230190245001107
261,230190030002008
