block2vtd,block_GEOID
751,270332704003076
751,270332704001150
737,270332704001153
737,270332704001035
734,270332703003003
3736,271537906001036
3729,271537904003041
2364,271019003001215
1959,270731802001045
1958,270731802001066
1958,270731802001069
2035,270812010011078
1939,270731803001126
1939,270731803001063
1934,270731803002083
4108,271739701004031
4099,271739702003160
686,270290001002011
704,270290002001102
704,270290002003095
1985,270774604012422
698,270290003003088
694,270290003003008
687,270290003003063
1992,270774603001268
2390,271019003003064
2749,271174601002049
4099,271739702003142
4113,271739704001127
4108,271739701004061
4091,271739703001152
4104,271739704003100
4086,271739703003054
4097,271739701004015
3742,271537901003019
3744,271537902003027
3716,271537904002046
3737,271537905001005
3713,271537902002030
3751,271537903003019
3718,271537903003067
3727,271537908002031
652,270270301103082
682,270290001001073
708,270290003001136
1985,270774604012242
695,270290002003046
691,270290003001053
695,270290002003053
1985,270774604012482
1993,270774604022007
1985,270774604012220
1986,270774604011012
2451,271051055003008
2456,271051056005008
2449,271051055001041
1786,270634804002015
1771,270619400001128
1713,270614803031024
1740,270614804012126
1741,270614804012137
1741,270614804012134
1715,270614803021089
739,270332701003034
3111,271277505001236
1770,270614807011061
1759,270614801022026
1778,270634801002203
1781,270634802002018
2029,270812010013075
2027,270812010021028
4097,271739701004012
4106,271739704001155
4108,271739701004056
4105,271739703001184
4091,271739703001149
4096,271739701005052
1000,270414509001022
2622,271119613001114
1008,270414510003059
1023,270434606001101
1031,270434605002089
1040,270434602001119
724,270332702002056
4112,271739704002083
4086,271739703003017
4110,271739703001032
2587,271119608001135
2579,271119617002005
2600,271119616002038
2609,271119612002042
2591,271119601021083
2628,271119613001015
2661,271119617001140
2649,271119605003087
2667,271119617001117
2618,271119610002027
2624,271119613002004
2659,271119616001016
1952,270731802002133
1949,270731802002150
1938,270731801001129
1934,270731803002062
1956,270731803002168
1643,270570702001083
3989,271679501002005
3984,271679501003026
1647,270570701003061
1672,270570705001023
1990,270774604012038
702,270290003002079
704,270290002003085
3761,271554601001113
2033,270812010021074
3964,271679501004117
3963,271679501004217
3761,271554601001181
1643,270570702001093
3985,271679501001094
3979,271679501002026
3961,271679501003210
3763,271554601001232
3768,271554602001014
3759,271554602001021
1947,270731801002038
2213,270917904001107
2215,270917901002053
2203,270917904002100
2206,270917901001007
1768,270614803022068
1769,270614807022052
1702,270614803011002
1727,270614801021076
1730,270614810024013
2033,270812010021053
2023,270812010011008
2197,270917903001236
3202,271335703001089
3206,271335701001094
3187,271335701003161
739,270332701003022
736,270332702002085
1945,270731801001053
1945,270731801001074
2037,270812010012013
2034,270812010021048
1774,270634802001082
1786,270634804002004
1798,270634802003040
1798,270634802003032
1750,270614810021005
1726,270614808051054
1723,270614808031028
1732,270619400002021
1708,270614801022086
3776,271574905002048
3783,271574905002013
3791,271574902003076
3782,271574902002072
727,270332704001030
2438,271051053002060
2445,271051051001145
2375,271019002002083
2762,271174602001009
2384,271019001001089
2366,271019001001100
2034,270812010022034
2032,270812010012110
1945,270731801001075
1945,270731801001047
1957,270731803002234
1957,270731803002283
2031,270812010022134
2026,270812010013197
3786,271574903004057
3791,271574902002153
3785,271574903002007
3797,271574906001007
2426,271051051002172
1709,270614801011126
1734,270614801021168
3787,271574904003006
2200,270917901001095
2217,270917901001144
1725,270614809022055
1747,270619400002112
1746,270614801021090
1711,270614804011006
2761,271174605001093
2034,270812010022129
1932,270731802001223
1958,270731802001216
3803,271574904004131
3774,271574905003075
2212,270917903002061
3802,271574905002029
3802,271574905002033
2197,270917903001237
2027,270812010013189
1934,270731803002146
2371,271019003001025
3051,271230404012010
2998,271230312001015
3047,271230405021000
244,270074505002077
292,270074501011072
991,270414501001079
985,270414507041024
286,270074503001067
3733,271537907004076
3717,271537905003043
660,270270203001027
1658,270570702001071
1655,270570707001098
2900,271230423013005
3032,271230407044001
2981,271230301005013
2978,271230352003003
2930,271230413021033
3508,271431704002012
3510,271431702003093
3011,271230310003001
2959,271230342016008
2976,271230375006006
2954,271230367002011
3784,271574903001028
3796,271574906001016
3515,271431702004052
2898,271230423022000
2904,271230425013013
3018,271230330001003
2956,271230369001007
2892,271230421011012
2923,271230427001001
646,270270302012207
672,270270301071296
3714,271537902002041
637,270270302012165
3751,271537903002009
3964,271679501004190
3970,271679501004263
1676,270570704002054
1670,270570703002022
3978,271679501003100
3974,271679501001054
3960,271679501003055
1666,270570706003075
1667,270570706002050
1660,270570701004092
3771,271554602001102
2693,271130902003027
2694,271130904001007
2698,271130905001020
3524,271431702003113
3525,271431701984024
3015,271230307031012
3020,271230346012016
2887,271230420011012
2988,271230321003009
2990,271230333001025
2896,271230423021004
3035,271230407064006
3050,271230404023016
3046,271230405041003
2977,271230376041018
2891,271230421013017
3036,271230407051008
3018,271230331002015
3004,271230309003021
2908,271230409011008
3029,271230374031003
2887,271230420011017
257,270074501022064
981,270414506011004
663,270270205003018
3776,271574904001048
3803,271574904004084
3780,271574902003021
3781,271574904004064
3780,271574902001092
2930,271230418003005
2990,271230350002004
2990,271230350001004
2932,271230416013003
3051,271230404012011
3525,271431701984023
3525,271431701984044
3035,271230407061001
3038,271230406052001
2963,271230370002000
2916,271230411041003
2917,271230411051006
2913,271230412002008
2930,271230414005004
987,270414505001052
997,270414508002068
2643,271119606002024
2649,271119605003089
235,270074507031057
291,270074505001290
985,270414507042011
983,270414506012042
668,270270301092008
662,270270204002007
644,270270302011053
663,270270205002001
1011,270414508003028
994,270414508002036
2424,271051051004033
2450,271051055001031
2181,270890801003077
241,270074503004001
280,270074503003004
238,270074507044019
2629,271119614003044
2624,271119613002050
2579,271119617002006
2579,271119617002041
2106,270879401002041
3739,271537907002071
2656,271119601033032
2637,271119603001020
1778,270634801002180
1798,270634801002192
1780,270634801001000
669,270270301111119
641,270270301111104
2635,271119606003027
3723,271537903001008
3741,271537905001011
668,270270301092004
635,270270301071328
3749,271537907003052
2200,270917901001059
2185,270917904002099
2203,270917904002080
2206,270917901001120
2191,270917905012004
2641,271119614003057
2648,271119603003026
2648,271119603002024
2589,271119616003006
2624,271119613002033
2608,271119607002038
2632,271119608003030
2634,271119606003017
2605,271119608002050
2605,271119608002030
2108,270879403002053
2114,270879401003066
2649,271119605003020
2632,271119608003090
2634,271119606004065
2595,271119613003042
2599,271119604002009
2593,271119617003077
2654,271119605001052
1992,270774603001258
1992,270774604012301
1983,270774603001049
1989,270774604011027
704,270290002003112
1985,270774604012209
1992,270774603001227
2598,271119601031126
2609,271119614001094
2620,271119615001016
3063,271250101002164
1784,270634803001014
1778,270634801002146
2151,270890802003027
2164,270890803001130
1905,270690902002491
1878,270690902001067
2124,270890804001033
651,270270301071183
648,270270301103211
634,270270301103117
1170,270510701001021
2113,270879403001132
2106,270879401002012
2117,270879401002095
2118,270879401001029
2118,270879401001050
1182,270510702002133
2121,270879403002091
2954,271230367004000
2954,271230368002004
3024,271230346024004
2953,271230357002003
2092,270859502002039
2080,270859505001075
2096,270859506004004
2089,270859504021002
3064,271250102001077
2091,270859503021011
2097,270859506003029
3791,271574902002111
3208,271335701002146
3187,271335701003058
3199,271335701003023
3056,271250101001100
3055,271250101001199
1795,270634802002091
650,270270302012105
1893,270690901001209
1900,270690902002027
2176,270890802003177
2177,270890803001228
1906,270690902002444
1873,270690902002209
3708,271519603001158
3693,271519601002159
3711,271519603001299
3697,271519604002016
3687,271519601001146
2630,271119616002106
2650,271119605001011
2622,271119613001158
269,270074503004043
275,270074505002046
270,270074505002027
3669,271494803003013
660,270270204003015
656,270270303002033
656,270270207003028
2173,270890804002114
2159,270890802001078
1902,270690902002347
1882,270690901001105
1900,270690902002040
2182,270890802002127
2128,270890803001295
2655,271119616002081
1890,270690901003030
1908,270690901003081
288,270074505001247
983,270414506021015
2087,270859502001101
1776,270634801002309
1042,270434605003064
1041,270434605001134
1047,270434602002017
1017,270434604001033
1035,270434605003165
1187,270510701002302
991,270414505004012
980,270414507022002
1004,270414501002012
988,270414502002040
1014,270414501003033
1013,270414502003086
1013,270414502003089
2103,270859501002026
2089,270859503011012
2091,270859503023010
2087,270859502001087
2091,270859504012005
2084,270859507004014
2089,270859504022020
2076,270859502002008
2076,270859502003008
2089,270859503012026
2089,270859503012030
3080,271277505002059
3079,271277505001048
3083,271277504001077
3084,271277506001066
3079,271277505001031
3090,271277504002015
3095,271277502003037
3095,271277502003025
2082,270859507001013
2087,270859502001079
2101,270859505001033
3062,271250101001036
2104,270879403001039
2630,271119616002009
1185,270510701002149
1185,270510701002148
1183,270510702002031
265,270074502021035
996,270414509003055
995,270414510003030
290,270079400022067
3067,271250102002038
1019,270434603003090
1017,270434604001045
979,270414510001018
996,270414509003062
1015,270414502003041
1013,270414509003064
1187,270510701002138
2079,270859505002062
2097,270859501003058
2077,270859506002062
2099,270859501003015
1176,270510702003042
1793,270634802001110
1783,270634801002301
2204,270917904002051
2192,270917905021017
981,270414505003016
1000,270414509002024
1729,270614810021124
1697,270614809023001
1743,270614801022061
1735,270614801022072
1745,270614804021004
1712,270614810011076
1715,270614803022039
2616,271119609001021
2610,271119611001023
2659,271119616001031
2595,271119613003052
2622,271119613001124
2609,271119612002059
2637,271119603001057
2623,271119601023039
1022,270434605002029
1030,270434605001053
1016,270434601002115
1017,270434604001030
1029,270434603001139
1042,270434605002143
3709,271519603001048
3705,271519601003005
3700,271519601001042
3688,271519603001346
3709,271519603001034
3684,271519602002055
3684,271519602001055
3683,271519604002189
3682,271519604003004
1169,270510702002193
1179,270510702001106
1176,270510702003026
233,270074507051037
239,270074507051006
291,270074505001285
262,270074505001161
246,270074507031046
283,270079400022061
272,270079400011058
1000,270414507041061
995,270414510003034
1011,270414508001017
1908,270690901003097
3061,271250101002009
238,270074507044031
249,270074501021017
264,270074504002022
271,270079400012120
242,270074504003029
2677,271130901001035
1026,270434601001070
1172,270510702001082
1177,270510702003007
1709,270614804012007
1707,270614810022081
2619,271119609002001
2640,271119608001083
2582,271119606004097
2630,271119616002119
2138,270890801003204
2171,270890801003040
2130,270890804002112
3094,271277502001049
3095,271277502002014
3075,271277506002066
1000,270414507022012
282,270074503004023
234,270074506004004
3091,271277506001192
3115,271277504002061
3104,271277504001011
3109,271277505003110
199,270054503001062
185,270054508002021
2126,270890803002069
2162,270890803001392
1907,270690902002510
1907,270690902002516
1905,270690902002504
1878,270690902002598
2179,270890804002009
2124,270890804001006
1713,270614803031007
1749,270614805003085
1724,270614808051003
1724,270614808051001
1755,270619400001000
1733,270614805003003
1726,270614808051018
205,270054502002061
202,270054503004033
198,270059400004030
220,270054502001006
196,270054505001025
2477,271079602002072
548,270219602003076
542,270219400021125
565,270219602003013
538,270219608042077
186,270054507001040
186,270054503004003
651,270270301071094
646,270270302012253
634,270270301103070
3723,271537903001081
3723,271537903001007
1885,270690902002434
1873,270690902002084
521,270219608011026
548,270219603021016
574,270219400021160
546,270219607003057
574,270219400021073
2442,271051053001077
2389,271019001001071
2677,271130901001002
2677,271130901001060
203,270054501002001
191,270054509001069
1978,270753701021040
1968,270753701011456
1961,270753701012254
433,270170705022019
453,270170705011018
437,270170702001031
464,270179400002030
2046,270833606001010
2048,270833606003041
2068,270833606002081
2063,270833605001040
2047,270833601004035
2063,270833603003026
2046,270833606001008
2484,271079602001126
546,270219607003031
1036,270434601002003
1046,270434606003000
1046,270434606003023
1046,270434606003025
1020,270434603001026
963,270399502002042
957,270399502003060
960,270399503003014
957,270399502003075
957,270399502003056
3504,271410305053032
3488,271410302021000
3889,271630711012019
3860,271630712112002
3894,271630702061029
3913,271630707032001
3924,271630710062001
3487,271410301051019
3495,271410301051016
3891,271630703011013
3913,271630706022013
3856,271630707041044
3862,271630712101014
3492,271410315002024
3498,271410304102011
621,270251102023030
4067,271711002033030
4042,271711005002060
4053,271711013001043
1693,270591302002004
1560,270530265161002
1358,270530267191006
1393,270530017002014
1375,270530017001008
1606,270530221022002
1479,270530118001014
1381,270531256002011
205,270054502002058
1685,270591305023027
1681,270591303031025
3826,271594803001026
3826,271594803001048
765,270359508023017
792,270359507021082
801,270359501001054
771,270359517001034
797,270359501003006
770,270359507023058
762,270359510002046
623,270251104042007
603,270251105042006
4069,271711011011033
4069,271711011011048
4063,271711007072043
1679,270591302001012
1544,270530272052011
776,270359514003020
796,270359504022026
800,270359516001002
1393,270530024002021
1392,270531030003008
1392,270531030003006
1443,270530110003004
1412,270531263002002
1375,270531018003014
1475,270531090001003
1480,270530119985004
1475,270531090002008
1449,270531086002006
1246,270530268071001
183,270054509001049
191,270054509001075
191,270054509001091
2753,271174605001120
2758,271174601001070
2766,271174604001054
2751,271174604002074
2431,271051051002159
2983,271230332001025
2885,271230408013013
2923,271230427002006
3046,271230405043012
3006,271230306024004
3000,271230305005001
2963,271230370003002
610,270251105011008
603,270251105041017
609,270251104021008
615,270251102011077
4051,271711003001039
4057,271711010023016
4061,271711012002001
616,270251102021030
621,270251102023012
623,270251104041027
4072,271711001014045
4043,271711004021003
4076,271711008072019
4083,271711011021050
3082,271277505001024
3113,271277504002164
3115,271277504002055
3098,271277506002069
972,270399505002015
972,270399505003032
965,270399503002007
959,270399504003052
3023,271230346021011
3011,271230315002020
3033,271230407082002
3018,271230344002010
2930,271230414005010
2927,271230414004011
1260,270530271025017
1296,270530260281007
4075,271711008041015
1683,270591301002058
1693,270591301001066
623,270251104042005
609,270251104021012
623,270251104041005
4076,271711008052021
4041,271711008044006
1695,270591306002013
1681,270591303041011
1692,270591301004003
2244,270935604002019
1190,270530253012010
2958,271230360001012
3034,271230407072002
3019,271230317011019
2989,271230332002003
2941,271230338002005
603,270251106002030
608,270251102022053
4075,271711008041003
4043,271711004021015
4079,271711005003006
4066,271711012003060
4075,271711008032002
2248,270935606003057
2239,270935601001075
2222,270935605003080
475,270190907032002
471,270190906022017
478,270190908011008
500,270190901022022
491,270190912013019
501,270190901021029
1479,270531111002013
1541,270530272042001
1478,270531105002000
1255,270530269065003
1255,270530269065009
1522,270530262083001
2239,270935601002026
2245,270935605001008
477,270190907031018
482,270190912022024
2234,270935602004039
2248,270935606003106
2222,270935605003114
1471,270530117041002
1267,270530207002019
1404,270531008003001
1581,270530214001017
1610,270530273002005
1342,270530267075012
1415,270531016004002
1218,270530254012018
1407,270531020002002
1271,270530208012011
1610,270530273004012
1505,270530262021022
1518,270530262011013
1235,270530268244013
1239,270530268153020
1508,270530264044009
1473,270530121012006
3690,271519603001001
3682,271519604003034
3703,271519604001066
1545,270530267021023
1550,270530266052008
1420,270530059011001
1423,270531260003000
1600,270530230001002
1408,270530027001000
1412,270531263004015
517,270219400023061
517,270219400023046
550,270219606001044
537,270219607002055
2057,270833601001011
2735,271159503003071
2714,271159505001013
1964,270753701011115
1970,270753704002062
204,270059400005126
1929,270717903002235
3210,271359705002031
2499,271090020003089
2525,271090012032050
2721,271159505001078
2508,271090023003038
2515,271090022003044
1961,270753701012259
219,270059400003002
211,270059400001016
464,270170705021008
464,270170704022001
441,270170701001039
463,270170703001010
436,270170702002026
