block2vtd,block_GEOID
596,300359760001001
303,300590001002224
303,300590001003104
661,300490001001103
419,300399617022032
419,300399617022309
595,300359760005017
651,301051005002068
651,301051005002082
158,300850801001145
419,300399617022028
651,301051005001004
650,301059406002003
652,301051001002165
651,301051005002114
80,300850801001111
225,300179616001024
66,300179620001019
66,300179615001043
419,300399617011207
418,300399617022263
419,300399617011219
420,300399617011294
651,301051005001018
652,301051001002329
650,301059406002073
650,301059406003119
68,300690001001026
646,300559540001145
596,300359404003090
303,300590001003026
303,300590001002233
651,301051005002083
174,300570001021144
68,300690001001145
113,300330001001417
652,301051001002247
652,301059406002302
652,301059406002235
598,300359404002011
548,300490005011023
392,300479403041055
303,300590001003335
303,300590001003373
646,300559540001068
646,300559540001237
646,300559540001117
213,300559540001018
649,300250001002076
649,300250001001236
466,300530004021074
465,300530004014057
607,300859400012023
576,300179613001065
578,300179615002017
462,300530001001402
474,300530001002011
649,300250001001222
367,300359404002067
649,300250001001033
649,300250001001133
425,300770002004034
601,300359800001041
598,300359404002002
601,300359404002045
303,300590001002173
303,300590001002227
303,300590001001059
303,300590001003141
303,300590001002170
599,300359402003001
595,300359760004028
593,300359760002036
201,300859400015006
207,300859400014034
158,300850801001173
158,300850801001165
158,300850801001237
123,300359404001036
123,300359404001038
303,300590001003166
303,300590001003434
170,300910904001351
170,300910904001191
170,300910904001304
309,300910902003170
309,300910902003055
345,300910904001151
602,300359404005064
92,300359404005026
303,300590001002033
303,300590001003369
303,300590001001135
367,300359404004125
92,300359404003033
367,300359404004118
303,300590001001108
364,300570002001050
225,300179619002029
540,300490009004045
661,300490001001069
470,300530002002041
462,300530001001543
465,300530003001022
591,300359760003004
367,300359404004056
367,300359404004060
303,300590001003000
303,300590001002261
468,300530005003375
467,300530005003269
471,300530004012137
465,300530003001207
462,300530001001392
471,300530004011071
649,300250001002011
649,300250001002128
169,300770001001376
650,301059406003020
650,301059406002046
364,300570002001034
120,300570002003140
120,300570002003134
62,300570003001398
76,300570001012119
364,300570003001344
62,300570003001341
303,300590001003072
254,300510501001122
526,300619645001157
655,300479406004012
531,300490008003022
661,300490001001054
655,300479405003044
655,300479405002040
661,300490003001039
560,300739770001035
560,300739770001027
609,300739770003008
518,300410404004024
515,300410404001058
514,300410404002022
21,300630002043039
174,300570001021299
38,300630001001015
119,300570002003194
364,300570002001184
364,300570002001097
467,300530005003028
465,300530004013172
473,300530005002183
464,300530005004127
226,300510501002216
68,300690001001242
67,300510501002195
312,300230005002032
266,300230005002068
78,300230004001009
313,300230005002057
627,300410401001741
195,300739772002170
170,300910904001243
590,300619646001148
64,300810008002227
194,300810001003010
7,300630013044008
22,300630002051014
32,300630003002005
174,300570001021195
485,300739772002231
621,300410402001423
619,300410402001402
516,300410405002027
627,300410401001754
611,300739770003079
609,300739770003022
654,300710602002049
654,300710602001010
654,300710602002072
654,300710602002051
654,300710602004453
654,300710602002059
653,300710602003459
654,300710602003095
627,300410401001831
627,300410401001730
627,300410401001789
627,300410401001372
366,300810005023057
160,300810006011157
64,300810008002259
100,300810002042043
194,300810001002010
609,300739770003006
268,300230005001031
653,300710602003526
626,300410402001526
627,300410401001546
620,300410401001385
625,300410402001363
611,300739770002145
565,300370001001454
22,300630002061016
32,300630003002014
312,300230005002037
465,300530004014091
466,300530004021077
616,300050002001094
616,300050002001063
235,300059401001092
235,300059401001032
403,300150102001240
403,300150102001181
402,300150103002320
616,300050002001042
616,300050002001053
641,300050001001200
402,300150103002253
654,300710602004099
465,300530004013168
471,300530004011070
471,300530004012246
471,300530004012060
465,300530004014066
470,300530002003059
464,300530005004156
408,300150103001010
614,300050002001192
614,300050002001468
614,300050002001456
402,300150103002224
614,300050002001482
641,300050001001020
99,300770001001245
99,300770001001183
109,300770001001032
254,300510501001005
67,300510501002322
460,300230003002009
77,300230004003015
650,301059406001120
650,301059406002188
650,301051001001158
650,301059406003024
174,300570001021054
62,300570003001397
174,300570001021305
174,300570001021088
6,300630014021192
174,300570001011154
133,300810002011068
64,300810008001038
366,300810005022053
382,300479407001078
428,300770002002014
169,300770002005087
20,300630002043005
68,300690001001219
355,300810006024018
160,300810006011160
64,300810008002134
175,300810002013004
64,300810008002222
43,300630007002000
177,300010001001401
177,300010001001260
146,300010002004327
565,300370001001433
254,300510501001108
364,300570002001120
20,300630002042004
2,300630014011027
174,300570001021139
19,300630009015009
42,300630018024046
306,300650002002003
67,300510501002214
68,300690001001128
162,300510501001238
18,300630009012007
71,300650002002018
654,300710602004434
565,300370001001028
653,300710602003176
618,300410401001326
625,300410402001011
610,300739770002054
245,300739772002329
614,300059402001048
61,300439622012010
55,300439622021325
160,300810007001040
64,300810008002115
64,300810008002009
360,300650001001080
74,300910904001020
646,300559540001295
618,300410401001440
621,300410402001514
64,300810008001196
64,300810008001206
643,300810002011114
609,300739772002033
625,300410402001111
627,300410401001180
609,300739772002150
625,300410402001155
625,300410402001217
543,300490012021017
545,300490003002052
661,300490001001172
544,300490003003012
385,300479406004088
386,300470002002122
656,300479404003010
394,300479403053016
399,300479406002047
398,300479406001109
385,300479406001043
542,300490012013005
30,300630009022161
120,300570002003008
364,300570002001131
311,300570003002015
62,300570003001364
364,300570002002012
364,300570002002052
364,300570003001054
31,300630002041010
21,300630002043040
7,300630013023016
342,300650001001328
230,300650002001032
89,300770001001394
69,300210003002010
364,300570002001111
525,300619646002011
524,300619646003225
357,300210001001190
588,300210001002139
385,300479406004015
559,300490001002033
614,300050002001340
614,300050002001320
642,300810005023012
253,300810006011177
64,300810008002313
301,300810006023038
306,300650001001264
99,300770001001480
44,300630007001016
58,300439622021112
81,300770001001347
382,300479407002012
393,300479403042041
393,300479403072011
385,300479406001044
394,300479403052009
385,300479406001035
536,300490007022034
661,300490001001032
645,300490001001267
525,300619646002029
590,300619646001164
524,300619646003204
525,300619646003260
526,300619645002045
524,300619646003098
520,301010002004043
555,300010003004020
177,300010001001411
36,300630018023114
34,300630005012020
34,300630005011001
2,300630014022123
261,300010001002032
556,300010003001003
197,300010001001040
228,300210003001025
256,300210003003004
56,300439622022120
53,300439623001246
38,300630001001003
422,300450001002427
421,300450001002354
421,300450001001009
424,300450001002193
424,300450001002205
520,301010002001029
416,301010001001070
89,300770001001393
63,300770001001476
169,300770002005027
10,300630018012028
