block2vtd,block_GEOID
380,381010108003106
382,381010113004116
427,381010105001014
376,381010110003092
420,381010102002036
381,381010106022120
380,381010103023000
421,381010103011005
314,380799517002086
312,380799517001172
312,380799517001155
314,380799517003078
312,380799517001180
311,380799516001087
312,380799517001159
313,380799418001012
315,380799519001050
311,380799516001058
314,380799517002081
311,380799519001384
125,380259622003227
381,381010113001133
120,380239545001021
294,380759529001436
376,381010110002030
382,381010113004126
340,380919687001161
341,380919687001169
262,380639590004075
340,380919687001032
340,380919687002055
372,380999579001012
372,380999580002015
372,380999580001038
372,380999581001036
420,381010102002043
420,381010102004007
375,381010112001006
124,380259622001004
129,380259622003146
130,380259622003432
122,380239545001922
120,380239545001043
408,380619552002010
259,380619552002341
331,380899640002038
337,380899633002148
260,380619552003522
408,380619552002049
279,380699561002006
278,380699562003287
255,380619552001151
254,380619552001085
230,380559608004372
198,380479725001445
230,380559608004419
230,380559610012148
230,380559608004168
230,380559610012259
228,380559401001035
199,380479725001142
199,380479725001217
281,380699561002042
280,380699562002032
282,380699561002038
293,380759529001334
214,380519729001055
7,380039680001113
9,380039680001175
404,381059534001341
402,381059536001257
393,381059541001057
399,381059535002103
396,381059541003005
406,381059535001140
406,381059535001158
406,381059535001125
406,381059535001155
372,380999578002157
371,380999583001028
372,380999578001174
372,380999581001177
371,380999583001250
372,380999578002096
372,380999578002252
7,380039680001020
4,380039682001020
227,380539623011086
217,380539401001007
222,380539625003067
293,380759529001484
293,380759529001421
293,380759529001613
294,380759529001528
121,380239545001848
120,380239545002034
121,380239545001482
119,380239545002126
121,380239545001498
292,380759529001057
13,380039680002020
122,380239545002359
119,380239545002292
294,380759529001472
294,380759529001580
294,380759529001588
296,380759529002000
262,380639590002318
339,380919687002215
14,380039679001311
8,380039679002029
121,380239545001368
372,380999578001022
372,380999578001108
372,380999578002241
372,380999580001076
372,380999581003138
341,380919687001355
340,380919687001073
340,380919687001096
341,380919687001219
263,380659612002230
269,380659612002147
191,380439668003218
230,380559610013490
230,380559610012142
191,380439668001058
230,380559608001032
230,380559608004432
230,380559608002088
230,380559610011071
230,380559610013478
198,380479725001313
230,380559608002011
198,380479725001019
191,380439668002362
230,380559608002023
340,380919687002186
341,380919687001250
342,380919687001459
339,380919687002220
340,380919687001012
371,380999581002055
371,380999583001106
371,380999583002036
122,380239545001094
278,380699562003078
281,380699561001242
279,380699561001234
277,380699562003522
277,380699562003450
371,380999583002332
371,380999583002259
371,380999583002275
260,380619404001133
261,380619404002044
261,380619404002042
255,380619552001015
283,380699562001019
276,380699561001214
15,380039679002194
8,380039679002067
191,380439668002397
191,380439668002396
189,380439668002449
193,380439668002456
230,380559608004194
230,380559610012410
229,380559401001255
277,380699562003413
283,380699562002055
277,380699562003433
281,380699561001038
281,380699561001107
278,380699562003154
278,380699562003241
292,380759529001082
296,380759529002193
296,380759529002200
292,380759529001248
228,380559610013189
188,380439668002244
190,380439668002115
188,380439668002254
188,380439668002229
190,380439668002716
228,380559401001179
230,380559610012292
230,380559608002018
201,380479725001539
193,380439668003135
191,380439668003276
230,380559608001035
228,380559610012062
229,380559401001207
230,380559608004198
188,380439668002060
372,380999581002205
372,380999581002214
372,380999580001067
4,380039682003018
8,380039679002109
336,380899633002233
399,381059537022078
404,381059534001388
404,381059536001154
406,381059535001310
406,381059535001285
399,381059537022172
394,381059538001025
399,381059537022037
403,381059534001375
397,381059536002041
398,381059535001521
397,381059536002102
227,380539623011240
226,380539623023114
372,380999581003180
371,380999583001058
398,381059535001383
405,381059534001204
405,381059534001182
405,381059534001106
371,380999582001027
372,380999581003179
371,380999583002326
262,380639590003264
262,380639590003311
220,380539625001165
371,380999583002024
371,380999583002091
372,380999583002207
230,380559608001153
255,380619552003040
224,380539623011301
222,380539625003256
372,380999579002027
372,380999578001242
198,380479725001020
191,380439668002420
230,380559608004033
230,380559608002273
192,380439668003196
193,380439668002503
193,380439668002538
230,380559610011307
228,380559610013268
230,380559608004113
228,380559610013229
265,380659612002021
265,380659612002016
267,380659612001355
263,380659612002190
263,380659612002114
263,380659612001261
263,380659612001269
371,380999583001117
371,380999582001010
372,380999578002063
372,380999578002017
121,380239545001458
121,380239545001463
121,380239545001245
121,380239545001318
164,380350120001035
166,380350117022114
158,380350112012005
7,380039680001106
334,380899639003085
335,380899633002357
333,380899634001038
9,380039679001006
16,380039680003361
10,380039680002121
8,380039679002264
8,380039679002267
262,380639590004393
389,381039600002223
388,381039600001353
388,381039600003049
25,380099525002265
135,380279592001021
28,380099524003276
24,380099525001383
27,380099524002048
212,380519729002393
214,380519729001061
155,380350106002003
166,380350117021101
164,380350120002216
163,380350114001202
163,380350114001262
6,380039683003010
8,380039679002199
262,380639590004285
157,380350118001169
165,380350118001106
216,380519729002628
330,380879650001101
281,380699561001140
186,380419648001052
187,380419648002276
242,380590204001142
242,380590205004063
246,380590203012011
252,380590205003204
248,380590201002027
262,380639590003158
412,380579618001417
416,380579618003059
253,380590205003041
253,380590205003069
238,380590204002066
324,380859408002004
325,380859408002141
238,380590204003037
240,380590202001046
242,380590205004306
253,380590205004107
253,380590205003272
146,380319596003128
147,380319596001056
147,380319596001017
144,380319596002460
389,381039600002187
389,381039600002232
391,381039598002025
352,380939672002211
178,380379659001018
345,380939670001387
349,380939670002265
346,380939674024028
409,380379659001525
409,380379659001527
222,380539625003202
17,380059567002050
17,380059567002021
350,380939670001129
349,380939670002216
355,380939675001025
348,380939673001075
409,380379659002301
17,380059567003204
17,380059567003137
289,380739690001117
