block2vtd,block_GEOID
22,311799787005048
725,311479685001012
722,311479645001003
24,311799787002045
125,310239677002029
129,310239676001291
126,310239676002138
491,310979676002047
181,310299619004019
181,310299619002041
510,311010001002025
505,311010003001393
513,311010002004013
508,311010003001082
513,311010001001004
508,311010003001274
449,310859615001156
33,311859696001119
34,311859697002011
510,311010001001034
510,311010001002035
509,311010003002147
312,310499554002145
42,311859699001102
38,311859698001097
129,310239676001131
130,310239676003073
40,311859698002077
43,311859698001014
130,310239676003031
37,311859699001300
179,310299619001017
621,311299600002230
622,311299600002263
58,310059583001005
357,310579623001026
505,311010003001440
510,311010001002008
180,310299619003168
507,311010003002078
33,311859696002090
37,311859699001340
33,311859696002148
33,311859696002088
33,311859696002012
39,311859699001196
42,311859699001326
42,311859699001330
620,311299600002029
620,311299600003051
615,311279681003330
616,311279681002125
613,311279681002152
128,310239677001042
512,311010003003128
128,310239677001067
128,310239677001066
130,310239676003081
635,311319670002049
635,311319670002076
639,311319666001175
638,311319667002021
637,311319670001004
639,311319666001052
632,311319668001141
847,311739402002254
851,311739401001155
851,311739401001096
851,311739401001105
737,311519608002174
846,311739402002098
735,311519606021057
802,311599604001091
442,310819691002138
440,310819691001139
446,310819691002000
446,310819691002063
447,310819692002056
446,310819691002080
445,310819693001018
646,311359593001073
648,311359593001051
842,311699631001202
805,311599602001033
794,311599601003091
797,311599601002176
359,310579623002033
358,310579623002080
839,311699631002221
844,311699632001104
844,311699632001083
847,311739402002205
849,311739401003038
732,311519608001127
214,310359621001024
734,311519608001190
366,310590916002123
366,310590916002262
366,310590916002316
839,311699631002187
839,311699631002372
647,311359593002156
838,311699631002300
840,311699631002148
839,311699631002432
842,311699631001221
844,311699632002186
841,311699631001084
780,311579530002045
357,310579623003030
646,311359593003077
741,311519609002121
788,311579533002042
358,310579623002077
357,310579623003011
358,310579623003062
213,310359621001065
217,310359622003211
217,310359622003194
368,310590917001294
219,310359622002145
215,310359621001164
215,310359621002157
598,311239525001046
766,311579531003026
765,311579530003011
778,311579539002014
601,311239525001295
781,311579530002031
780,311579530002071
766,311579531003143
799,311599604002260
798,311599604002226
794,311599601003049
799,311599604003006
721,311479686002057
454,310879627001145
452,310879627001180
454,310879627001161
455,310879627003075
455,310879627003013
557,311159728001055
557,311159728001003
359,310579623002150
59,310079540001039
469,310919567001076
720,311479686003073
726,311479645002097
718,311479645002143
841,311699631001051
780,311579530002060
762,311579532001127
772,311579538001028
768,311579539003060
773,311579532002049
786,311579537003019
648,311359593001055
763,311579529002271
775,311579531001021
777,311579529002103
768,311579539003067
782,311579532002064
765,311579530002089
854,311739402001045
761,311579532001031
849,311739401003032
851,311739401001173
849,311739401003019
851,311739401001112
853,311739401002041
854,311739402001063
853,311739401002029
853,311739401002069
622,311299600002266
641,311339678002098
643,311339678001270
643,311339678001239
643,311339678001072
644,311339678001250
447,310819692002093
441,310819692001173
441,310819693003010
441,310819693001046
443,310819693002062
438,310819691001203
439,310819692003139
445,310819693004068
443,310819693002031
407,310759563001058
491,310979676002099
488,310979675002021
492,310979676001201
469,310919567001040
728,311479645002219
775,311579531002076
773,311579531003042
621,311299600002152
723,311479686001025
723,311479686001044
716,311479685002039
774,311579529001022
719,311479685001068
716,311479685002008
519,311059545001335
521,311059545001294
83,310179750002012
807,311619517003028
822,311659501002070
822,311659501002095
821,311659501001029
488,310979675002015
84,310179750001165
84,310179750001045
522,311059545004028
523,311059545004051
613,311279681003187
838,311699631002038
737,311519608002033
776,311579535002046
783,311579535003005
821,311659501001007
407,310759563001055
407,310759563001011
83,310179750001235
83,310179750001219
599,311239525002003
