block2vtd,block_GEOID
893,340076035074000
835,340076089011029
894,340076008004010
928,340076030011006
896,340076057004003
894,340076008004004
766,340076036032017
799,340076039012000
726,340076059002019
707,340076088003001
846,340076115001015
1030,340076075074001
1009,340076089032029
874,340076013002006
927,340076108002016
753,340076026011026
721,340076054001016
1033,340076043001009
1930,340155022041003
1936,340155024006054
1936,340155024001001
1884,340155014041002
1861,340155017032007
2041,340155022031029
1859,340155016081013
783,340076075072017
1009,340076089043015
758,340076044001040
848,340076092073007
782,340076074021027
737,340076066001004
729,340076079002001
905,340076010003007
861,340076084012008
852,340076092055012
784,340076074012024
885,340076007001015
1942,340155008002019
1830,340155007023036
1824,340155013021016
1986,340155012013005
2030,340155017022017
1936,340155024005017
1853,340155016062028
1964,340155004004009
2024,340155006013016
1886,340155005004039
2005,340155011032008
1922,340155001002023
1822,340155005001041
4880,340312167023006
4847,340312167021031
4830,340311756011010
5924,340410319004020
5881,340410312004084
5901,340410308001037
4742,340312463003035
4730,340312568031017
1969,340155012094022
1838,340155019001025
1978,340155012092001
1936,340155024005008
1918,340155004003018
1918,340155004002012
1854,340155016053049
1907,340155010031017
4730,340312568031022
4715,340311246014020
4849,340311165005020
4901,340311247005002
4931,340312463001004
875,340076052003009
1044,340076091032004
858,340076092072020
925,340076057002015
817,340076060001013
1018,340076078022025
976,340076085041007
745,340076086003012
994,340076082092023
788,340076110003019
767,340076035013003
1046,340076092072009
1043,340076020004023
918,340076035061018
992,340076083042007
1913,340155008003000
2009,340155011043003
1970,340155012082022
5925,340410319001004
4895,340311248002014
4829,340311244044008
4982,340311827012002
4833,340311243214002
4739,340311432011012
5851,340410313023012
4970,340311433012028
4773,340312642002002
4712,340311243111001
4747,340311540052008
4787,340311802011005
1946,340155016093004
5895,340410307002014
4720,340311244023025
4924,340311245005007
4711,340311245002002
4896,340311249002001
4776,340311808002007
4862,340312461041004
4870,340311830021006
4916,340311250001017
4821,340311827021005
4881,340312167012012
5853,340410324002016
5891,340410307001002
1927,340155010022006
1833,340155007052009
1892,340155002012012
1880,340155002051030
1943,340155019002017
1833,340155007052008
1927,340155010023010
4214,340270434012009
