block2vtd,block_GEOID
139,350090006011233
137,350090006032033
128,350090006021260
592,350250002001007
562,350250011005318
593,350250007021037
594,350250009001014
577,350250006007023
84,350069461001057
81,350069415001294
75,350069747014029
63,350069415001128
110,350090003061033
137,350090006032027
114,350090002024047
73,350069747011011
63,350069415001026
77,350069747012085
76,350069458001064
62,350069747013435
62,350069747013432
62,350069458001192
62,350069747013355
62,350069747013453
72,350069742013040
614,350350005011004
608,350359400001001
619,350350004015015
625,350350003041037
109,350090003061001
275,350090006011111
114,350090002024037
110,350090003061018
135,350090003031019
108,350090006022087
493,350459432013554
120,350090004002010
114,350090001003001
127,350090006023035
484,350459428013054
481,350459428012165
112,350090006022224
121,350090006011050
139,350090006011265
132,350090004004080
542,350450006113004
492,350459432012587
485,350459429003020
482,350459428013239
537,350450006102006
81,350069461001102
493,350459432013029
528,350450001001008
488,350459429005093
521,350450002041000
534,350450006133051
494,350459430003158
507,350450004013013
513,350450003021002
504,350450005032004
483,350459428013087
504,350450005031041
491,350459432012351
483,350459428013114
498,350459433002044
639,350619713011076
645,350619707013005
661,350619708002074
75,350069747015160
75,350069747015085
81,350069415001267
75,350069747015163
76,350069458001376
273,350410002003056
275,350410004011062
129,350090003031029
507,350450004012001
627,350350003053010
274,350410004021178
613,350350006011071
605,350350009013135
613,350350006011017
602,350350009044143
611,350350007014033
612,350350007015095
644,350619703041022
608,350359400003050
605,350350009013166
606,350350009011027
601,350350009044023
652,350619701042013
658,350619709021141
665,350619713011175
639,350619713011061
285,350410002003038
275,350410004011151
274,350410004021296
289,350410004021174
286,350410003003067
562,350250011005608
556,350250011001451
562,350250011005611
596,350250009001134
595,350250008001039
595,350250008002097
559,350250010053084
582,350250003004019
590,350250002003031
558,350250010041011
590,350250002003044
567,350250011003102
583,350250005024008
584,350250005025006
556,350250011002021
566,350250007032021
563,350250010032054
1197,350130018052029
1139,350130002042015
1182,350130013141056
1196,350130018143020
158,350179648001141
156,350179644011027
13,350050011023070
60,350050012002823
60,350050012002605
19,350050011012026
159,350179643001035
1220,350130012033006
348,350599502003725
344,350599502003385
344,350599502003908
344,350599502003840
344,350599502003100
344,350599502004536
344,350599502003294
50,350050006001032
27,350050003021015
23,350050014001218
58,350050012002127
58,350050012002133
157,350179647022024
152,350179646004000
179,350179645001006
174,350179645003039
159,350179647012015
178,350179646002041
1132,350130017014126
1221,350130012043026
1181,350130013141041
1133,350130017014053
1128,350130018082009
1213,350130011062026
1191,350130018104057
1128,350130018111028
1218,350130011031005
1183,350130012072037
1183,350130012071013
1170,350130009023000
1200,350130001041040
1132,350130017011006
1128,350130018082016
1134,350130016003020
1233,350130012081013
1233,350130012081019
1136,350130015013135
1199,350130016001039
1168,350130008003007
1222,350130013082033
1181,350130013141001
175,350179645002027
555,350250011001373
593,350250011005526
555,350250011001374
556,350250011001247
556,350250011001423
556,350250011001469
556,350250011001466
561,350250010053131
1188,350130012051015
1170,350130009021025
1197,350130018052006
1200,350130001041025
1229,350130012083032
1176,350130013101013
1128,350130018051009
1151,350130004024007
1118,350130014012062
1159,350130006001015
556,350250011001014
556,350250011001470
1288,350539781001328
563,350250010031050
594,350250009001071
560,350250011005021
555,350250011005019
1300,350539781002041
1302,350539781002028
1282,350539783012016
1290,350539782001369
1289,350539782002082
562,350250010034017
562,350250010033025
564,350250010032076
566,350250007022096
590,350250002003028
586,350250005022015
589,350250003001026
588,350250004001003
557,350250010051057
556,350250011001472
597,350250009001209
1288,350539781001298
1302,350539781002045
1302,350539781003037
1288,350539781001314
344,350599502003971
344,350599502003021
347,350599502003420
344,350599502003162
343,350599502004161
344,350599502002074
60,350050012002534
60,350050012002612
16,350050011021476
148,350179641001052
493,350459432014155
493,350459432014175
492,350459432012118
1288,350539781001044
1289,350539782002085
348,350599502003704
346,350599502001117
343,350599502004391
343,350599502003049
58,350050012002218
58,350050012002225
617,350350001002060
73,350069744022049
73,350069744022048
73,350069744022070
73,350069744022093
73,350069747012033
62,350069747013324
84,350069461003017
22,350050011023218
161,350179644012036
158,350179642002046
179,350179641002038
58,350050012002113
279,350410003003007
286,350410004022035
280,350410004022046
276,350410004023066
287,350410003001050
281,350410001002015
282,350410001001027
275,350410004011067
193,350239700001416
81,350069415001257
76,350069458001182
566,350250007031006
568,350250005041030
593,350250007021124
593,350250007021142
589,350250003001016
589,350250003001029
566,350250007032038
575,350250005031020
569,350250005042009
560,350250011005076
63,350069415001093
79,350069461003093
560,350250011005101
556,350250011002016
1290,350539782002071
1289,350539782001454
30,350050002012054
50,350050011011022
23,350050014001132
155,350179647022069
158,350179648001167
180,350179648001222
193,350239700001541
191,350239702002078
191,350239702002079
596,350250009002050
562,350250010033007
1290,350539782001359
1292,350539781001124
1292,350539781001155
1291,350539400001162
17,350050011011051
158,350179642002075
17,350050013001056
22,350050011023295
17,350050013002023
21,350050014002000
60,350050012002382
57,350050011013032
176,350179648002014
147,350179642001076
58,350050012002072
344,350599502003140
344,350599502004674
343,350599502004175
343,350599502004069
344,350599502001085
346,350599502001180
347,350599502003341
193,350239700001450
344,350599502001050
344,350599502002079
347,350599502001147
348,350599502003688
193,350239700001565
190,350239700001094
190,350239702002006
369,350150003001025
368,350150001001039
365,350150004013035
368,350150001001042
368,350150001001017
369,350150003001034
362,350150005001034
357,350150006003042
377,350150008001348
355,350150009001098
387,350150009001631
381,350150007004307
384,350150009001324
378,350150007004182
17,350050013002151
193,350239700001548
376,350150007002470
1419,350439410001083
1405,350430105033012
1438,350430107271079
1473,350430107333021
1441,350430106012064
1241,350559523002232
1241,350559523002104
1346,350319438022103
1356,350319440001569
1357,350319460032030
1381,350319456011035
1381,350319456011021
1440,350430111011028
1450,350430107322007
1408,350430105031027
1408,350430105031036
1485,350430109002643
191,350239702002018
1431,350430109002147
1431,350430109002179
1426,350430109002121
1427,350439409001001
1486,350430107311023
377,350150008001167
383,350150009001363
350,350150010021022
352,350150011002092
351,350150010023036
352,350150011003069
313,350479577001037
305,350479575013161
303,350479577002046
306,350479573002011
302,350479576012083
305,350479575012027
302,350479575023029
307,350479575012245
304,350479575011093
1241,350559523002190
1272,350559527021072
1268,350559400002030
1241,350559523003060
1242,350559523003008
351,350150011003003
368,350150001001061
349,350150010021116
351,350150010012086
42,350050005001025
49,350050006001022
19,350050011012049
58,350050012002282
58,350050012002030
58,350050012002009
9,350050012002517
33,350050004004034
7,350050011021501
45,350050012002631
89,350079507003265
99,350079505004012
1414,350439410001138
1275,350559527012049
198,350290005002137
198,350290004011121
199,350290004022035
201,350290006002094
93,350079505004025
1260,350559527022039
1259,350559527022002
1261,350559527012055
1242,350559523003010
1275,350559526022032
1248,350559523001043
1431,350430109002220
1431,350430109002914
1443,350430107341056
1410,350439402001030
1466,350430107141027
1423,350430109002312
1430,350430109002075
1443,350430107341464
1414,350439407002021
1396,350319439071458
1391,350319460011071
1370,350319436022132
1372,350319439031096
1371,350319439061188
1339,350280002003039
1329,350280005006011
1342,350280004002010
203,350290002003082
206,350290001004057
1357,350319460032155
1366,350319731002012
1388,350319456011040
195,350290005003093
196,350290005001001
198,350290004012108
1393,350319439051158
1396,350319452021085
1363,350319457021091
1356,350319460021144
1356,350319460031301
1356,350319440001284
1355,350319435001378
1394,350319455021021
1396,350319452021095
1371,350319439071527
1361,350319439071359
1376,350319454002004
1359,350319436012155
1359,350319436012089
536,350459433001038
485,350459429002126
493,350459432013196
541,350450006104060
795,350010047581015
772,350019407001129
849,350010027001022
1080,350019405002009
1018,350010001234010
808,350010021001063
985,350010002061020
837,350010031002021
804,350019406012045
833,350010047642003
538,350450007062126
21,350050014002072
19,350050011012076
62,350069747013299
80,350069461003118
71,350069747012234
75,350069747015041
22,350050011023271
57,350050011013026
19,350050011012020
204,350290002001010
197,350290003002062
196,350290005001004
1363,350319457011103
70,350069744012023
552,350450007072011
488,350459429005115
195,350290006001078
1316,350279602002191
1305,350279602002081
1316,350279602002151
1306,350279603003056
1310,350279606013040
1304,350279602001020
1306,350279603003008
1304,350279602001311
1306,350279603003046
1349,350319440002292
1351,350319436013026
1366,350319460021015
81,350069461003152
1348,350319437022089
1347,350319437012030
1348,350319437022117
1347,350319437012032
1347,350319437012024
1357,350319460032094
1354,350319435001135
453,350490012052005
420,350490012021007
460,350490106031058
472,350490102041036
394,350499403002021
461,350490109001062
392,350490101021012
438,350490011072014
1356,350319460021127
1344,350319439071129
1356,350319460031012
1348,350319437011009
1392,350319436022109
1369,350319403023000
1359,350319436012058
91,350079505006025
1274,350559526024016
1241,350559523003149
1262,350559523002315
1247,350559521022070
1247,350559521022013
1245,350559521023035
1245,350559521023039
1257,350559401021014
90,350079507001283
93,350079505006050
92,350079506004009
999,350010037232019
1048,350010001102015
1021,350010007164012
1317,350279603002093
1306,350279603003139
1304,350279602001182
1306,350279603003255
1306,350279603003011
1319,350279603001118
321,350519624012011
321,350519624011227
321,350519624011226
329,350579636014064
339,350579632011024
318,350519624022001
405,350490103101027
424,350490011032016
1323,350279604022011
459,350490106011065
397,350490102051047
339,350579632011046
339,350579632011014
472,350490102041011
402,350490108002000
423,350490009002006
408,350490103101099
396,350499404001003
1310,350279606011007
771,350010046021040
324,350519622003021
318,350519624011272
320,350519624021156
337,350579632022031
335,350579637001152
335,350579636012031
321,350519623001043
325,350519622004008
321,350519624011362
335,350579637001014
335,350579637001202
327,350579636015050
1,350039764011021
6,350039764023365
183,350199616004063
187,350210001001022
329,350579636014049
199,350290004022125
199,350290004012037
303,350479577001198
1304,350279602001448
1249,350559521011010
1249,350559401023020
1305,350279602002204
1304,350279602001187
1324,350279606031017
1326,350280005004021
1335,350280002004012
1332,350280004003004
360,350150005001093
383,350150007002048
385,350150009001182
387,350150009001985
383,350150009001308
376,350150007002266
95,350079505006013
680,350010047541013
681,350010047631016
735,350010047121067
867,350010011012004
1441,350010047161026
779,350010049001047
826,350010029002021
1314,350279604012026
1314,350279604031038
1306,350279603003268
240,350399441004033
240,350390003012005
251,350390005001008
232,350390002001072
252,350399410003004
241,350390003022043
252,350399410002864
263,350399410002544
261,350390004012053
1310,350279606013050
1316,350279602002028
1310,350279606013023
1308,350279604033003
198,350290002003086
198,350290004011067
144,350119601002078
145,350119601002122
224,350379586023091
221,350379589003461
221,350379589003467
220,350379589003402
976,350010037432006
877,350010011013036
822,350010030022010
906,350010004021015
694,350010037451027
767,350010047152050
1240,350010007111002
867,350010005041055
774,350010013004007
710,350019406021067
943,350010002083033
1062,350010001082005
890,350010007043004
753,350010045022009
808,350010021001071
914,350010006054008
694,350010035013001
686,350010035021006
971,350010037252012
118,350090003052011
113,350090006022114
760,350019406022004
1071,350010001121005
901,350010001293009
198,350290005002147
198,350290004011050
