block2vtd,block_GEOID
82,325100010012007
89,325100003002046
2020,320019503025036
153,320019505001019
1,320019507001049
2026,320019506003003
71,325100002001001
82,325100010011005
2,320019507003042
2024,320019506002042
2031,320019503021028
2026,320019506002044
2093,320199608021222
2092,320199608021101
153,320019501001041
2074,320150003021464
2073,320150003021178
1977,320199603051013
1976,320199603042000
499,320310032031014
2078,320150003021529
2079,320150003012045
2074,320150003021445
2092,320199608021084
1989,320199602032011
1979,320199603052014
2009,320199601031022
2080,320150003012033
2076,320150003022007
2076,320150003022008
2076,320150003022024
188,320050023003038
99,320130105011045
2074,320150003021362
2076,320150003021203
193,320050023003040
2074,320150003021372
102,320279601001118
102,320279601001246
408,320310022132015
566,320310035223001
297,320310011011004
99,320130105011063
408,320310022135013
645,320310026211027
705,320310027062009
705,320310027062005
721,320310021031000
285,320310022103028
719,320310032051001
359,320310024092017
2073,320150003021184
180,320050019001046
43,320279601001063
40,320279601002183
43,320279601001437
387,320310032032018
253,320310026112008
386,320310026202013
94,320130107011002
356,320310002021012
686,320310022152015
220,320310027031012
2051,320310023022032
356,320310002023001
240,320310014003012
99,320130105011087
97,320130107014080
108,320130107022016
99,320130105011501
373,320310035031017
277,320310026212003
172,320050014002064
170,320050015002010
181,320050019001035
176,320050022004003
187,320050025001102
199,320050016002053
193,320050023001115
193,320050023001060
197,320050021001002
186,320050025001035
187,320050025001098
167,320050023002030
154,320019506001050
67,325100002003017
268,320310031063001
430,320310021063000
473,320310017012010
686,320310022141004
654,320319800001029
2050,320310023023012
56,320310035013118
270,320310035081010
292,320310025002002
430,320310021062013
524,320310031102007
105,320130105012705
105,320130105012596
99,320130105011171
107,320130106001038
107,320130106002024
106,320130105012222
40,320279601006122
40,320279601002281
43,320279601006046
40,320279601006165
2030,320019501002059
2030,320019501002047
67,325100001001094
488,320310023021053
105,320130105012445
105,320130105012591
107,320130105012423
95,320130106002104
109,320130106001390
93,320130105012550
65,320339702003176
66,320339701001388
63,320339702004110
2083,320339703002033
61,320339702001110
63,320339701001464
63,320339702004174
102,320279601001022
43,320279601001162
43,320279601006018
41,320279601003006
40,320279601006129
63,320339701001232
63,320339701001919
63,320339701001966
63,320339701001012
63,320339701001935
63,320339701001364
63,320339702004079
61,320339702001066
64,320339702001007
63,320339701001724
63,320339701001636
602,320310011053020
