block2vtd,block_GEOID
680,400790402994050
519,400539564001430
1202,401139400111382
1206,401139400041068
1224,401139400043155
485,400496813003029
894,400997908014010
889,400997907021046
890,400997906001020
896,400997907011002
1819,401519542011053
1819,401519542022206
1820,401519544002085
475,400496811002003
519,400539564001366
523,400539565001127
518,400539565002017
523,400539565001162
523,400539565001167
523,400539565001181
1223,401139400122069
1203,401139400111178
1216,401139400081125
363,400370213003016
368,400370201012004
386,400370207021015
390,400370209002022
1209,401139400052041
703,400790405004066
524,400539565003319
41,400079518002052
596,400673716001082
596,400673716001081
438,400459526001019
439,400459526001360
441,400459526001326
42,400079516001290
40,400079516001199
710,400790406022015
710,400790406022031
688,400790401022005
687,400790403021002
780,400950947002055
780,400950947002053
1873,400370211022001
1874,400370206023000
1224,401139400043263
612,400710011001040
628,400710004002046
623,400710012001049
613,400710013021056
613,400710013021014
682,400790403033029
1366,401255006004029
1344,401255005003014
1356,401255011043001
222,400272020082005
290,400272022055012
268,400272026001000
1298,401214858001078
1872,400370207071013
368,400370201011023
1219,401139400035063
1225,401139400052062
1491,401399507001110
1486,401399509021010
1485,401399509022045
1487,401399507002308
1485,401399507002207
626,400710001002029
637,400710012004020
621,400710006001092
623,400710012001070
629,400710004001019
441,400459526001327
41,400079517001226
45,400079516003001
1316,401214860003012
1318,401214865002022
1286,401214867001101
1303,401214868001047
1310,401214867003060
1311,401214860002027
345,400338711001214
780,400950947002054
521,400539565002090
1840,401214856021024
1292,401214867001059
1308,401214862001001
1288,401214859002017
519,400539564001358
1490,401399507003057
1483,401399506004377
1483,401399506004424
1481,401399506001042
1482,401399506004457
1482,401399506004346
1486,401399509021046
1484,401399508001021
1299,401214867001136
1840,401214856011021
1308,401214860001048
1298,401214858003000
1291,401214857001017
1291,401214857001049
1207,401139400152013
1218,401139400015001
384,400370208002039
386,400370207021030
590,400673718002017
590,400673718002019
597,400673717001266
249,400272002002003
279,400272016042000
285,400272015054014
266,400272024072050
239,400272014031006
241,400272024032008
714,400790404024057
714,400790404024076
703,400790407001035
1294,401214858004029
1287,401214858001028
1481,401399506004028
1481,401399506004222
1488,401399510001489
1489,401399510001269
1489,401399510001297
1490,401399507002199
1490,401399510001423
1482,401399506003050
1489,401399510001108
1289,401214859002051
341,400338711004101
341,400338711002025
340,400338711004140
346,400338712002160
786,400950948061062
277,400272023021021
268,400272026001034
261,400272012051016
267,400272024042003
255,400272006023044
264,400272024035012
1397,401310504061046
1399,401310508013025
1380,401310502022081
1388,401310506031002
712,400790406013037
1244,401179572001098
1241,401179575003012
1911,401110009012034
1912,401110008002092
1911,401110009012024
1913,401110009023047
1912,401110009023005
880,400917801001074
880,400917802002039
885,400917801002043
873,400917797002004
1924,401110006011052
1950,401110002001028
876,400917803022002
874,400917797003000
1240,401179571002016
345,400338711001196
787,400950947003050
1313,401214868002056
1285,401214861002008
879,400917802001005
1246,401179572003019
1243,401179574002067
1248,401179574003069
1242,401179574002017
1246,401179572002092
1397,401310504053039
1948,401110003002020
1916,401110008001025
1922,401110002002011
959,401070806002071
954,401070807003033
1861,401070809002062
961,401070810001070
1861,401070809003012
962,401070810001134
960,401070806003139
1247,401179573001041
1783,401450306041108
1766,401450304031010
691,400790403014039
679,400790402992021
714,400790404024054
712,400790406013001
701,400790407004100
1949,401110004005010
880,400917801001031
882,400917799002101
959,401070806001059
961,401070810001042
374,400370207062054
364,400370207071003
374,400370207062007
1203,401139400111135
391,400370210003042
1873,400370206042011
1873,400370211022006
376,400370207052025
1774,401450305051031
1760,401450307981030
1770,401450305111019
1780,401450308001071
1867,401450307983120
1770,401450305101045
1783,401450306013033
1779,401450307983018
956,401070806002029
1921,401110005001022
1948,401110003003065
1948,401110003002022
1918,401110007002033
876,400917803022020
876,400917803012014
886,400917799002069
962,401070806003146
954,401070807002062
959,401070806001000
953,401070807001055
959,401070806001089
954,401070807003043
1241,401179574001102
1919,401110007001009
1919,401110006011071
1924,401110006011029
1924,401110006012006
1919,401110007001013
1914,401110008002073
601,400696603001083
610,400696603002129
781,400950948062020
779,400950947001069
23,400055877003014
38,400055879001066
745,400836005022021
746,400836008021005
750,400836005025006
743,400836004013005
436,400459528001196
42,400079516001298
607,400696601982066
540,400599522001325
1945,400272015091003
216,400272020021002
545,400599521001206
545,400599521001315
543,400599522001404
259,400272011031004
254,400272012043001
384,400370208001027
391,400370210003076
1205,401139400012122
1221,401139400033009
1201,401139400033017
1221,401139400033027
1223,401139400111369
1223,401139400043221
1226,401139400122099
240,400272008005001
230,400272021021024
279,400272016043001
542,400599521001141
544,400599521001089
1771,401450305022022
749,400836004021024
758,400836001013010
758,400836002002034
44,400079517002220
45,400079516002022
45,400079516001020
441,400459526002301
41,400079517002278
33,400055878003039
37,400055877001041
1297,401214867004058
1281,401214865003017
1282,401214865004012
1284,401214863001010
540,400599522001038
543,400599522001402
219,400272016034009
1349,401255004004010
1349,401255004001013
588,400673718003001
597,400673717001272
749,400836004021008
35,400055878002029
636,400710011002044
612,400710011003092
624,400710006002277
622,400710013024124
612,400710011003097
628,400710004002047
618,400710012002060
626,400710005002000
746,400836008021075
753,400836009031045
604,400696602022059
608,400696602022083
601,400696603002163
599,400696602011075
605,400696601982018
611,400696601981017
623,400710012001071
639,400710006002043
628,400710004002048
614,400710013014045
613,400710013021059
613,400710013021050
614,400710013013051
37,400055877001009
26,400055876001144
601,400696603001041
601,400696603001063
602,400696603002198
604,400696602022010
1356,401255011031048
1352,401255010052014
1358,401255011013072
1353,401255009013007
1342,401255005001033
23,400055877003054
25,400055879003040
752,400836006002017
747,400836004022011
748,400836004012003
755,400836001013032
753,400836009031038
753,400836009031028
742,400836006003079
741,400836006001099
744,400836005011081
754,400836010003047
740,400836007005064
740,400836007005041
747,400836004022055
756,400836008021000
1758,401450301022082
1758,401450301013063
1757,401450302021012
1758,401450301021005
601,400696603002186
1181,401091083074009
1286,401214867001102
436,400459528001096
442,400459526002021
42,400079516001275
531,400559671002098
1253,401190107002017
1272,401190110011078
1266,401190113023010
1279,401190114003086
1258,401190103002003
1268,401190113012029
1280,401190110012174
1266,401190113014062
1223,401139400132070
1304,401214866001094
552,400612793002071
555,400612792001071
1279,401190114003026
1253,401190105031009
1251,401190107002065
1253,401190105032024
553,400612792003038
556,400612793003080
614,400710013014077
636,400710011002068
619,400710013022017
612,400710011003032
620,400710013022038
619,400710013022067
612,400710011001050
614,400710013013019
634,400710003003007
626,400710002013019
529,400559672002075
531,400559671001265
25,400055877002046
1280,401190110021026
1275,401190111012158
1267,401190112001112
1268,401190114003003
654,400759637002099
524,400539565003424
519,400539564001376
519,400539564001086
519,400539564001282
992,401091008001006
1903,401091001004021
1903,401091003001013
971,401091080092007
1034,401091088023017
1029,401091089003013
666,400759637001180
110,400173010111021
124,400173002012016
1024,401091080103009
1023,401091088042011
1177,401091082361009
1105,401091088041009
1898,401091066101006
659,400759642002436
656,400759637001215
665,400759642002161
661,400759642002206
131,400173002023098
125,400173008031003
89,400173004002040
121,400173001001123
128,400173013013013
134,400173014082007
126,400173002022109
127,400173002023168
93,400173006002023
1014,401091087062006
1099,401091087011015
1011,401091080081006
1160,401091082281005
665,400759642002130
988,401091023003014
1126,401091082342014
1034,401091088023009
1024,401091080034003
1000,401091053003059
1193,401091039001004
1064,401091070011005
994,401091010003028
993,401091019001016
1069,401091043002022
1086,401091072261011
1049,401091067104005
1052,401091067102007
1168,401091085083008
1193,401091047001014
1903,401091001002001
96,400173001003042
1107,401091090031029
1098,401091074061016
1046,401091068031010
1892,401091063013002
1139,401091083211000
1126,401091082332016
1132,401091081131001
1148,401091085264001
1199,401091085332011
989,401091002031013
987,401091020001009
987,401091020001015
1134,401091082152013
1190,401091092051042
1072,401091055002011
1072,401091055003015
1074,401091072161001
1902,401091065022008
1098,401099800011008
1266,401190113014082
654,400759637002025
965,401091078013010
1085,401091072191022
967,401091076041014
666,400759637001157
665,400759642002042
1037,401091087082020
1071,401091072182008
1195,401091092033000
1148,401091085212014
1043,401091068033010
1037,401091087112002
1029,401091090044001
1176,401091085372006
1023,401091088042051
1099,401091087012002
1142,401091085343011
1098,401091074062016
1080,401091072241022
1062,401091070025002
1042,401091069112009
1254,401190108002014
1263,401190101011030
1268,401190113011001
1263,401190101011068
1122,401091082014002
1122,401091082014018
1908,401091061002012
1170,401091085131003
1001,401091061006018
1047,401091069031004
1000,401091053002041
1090,401091048002007
1063,401091086032046
1061,401091086045000
968,401091078063025
409,400413757021008
408,400413758061013
406,400413758032018
426,400413761001091
658,400759636002007
658,400759636001035
661,400759642002334
411,400413757011055
407,400413758053021
537,400579678001350
577,400659688002006
1445,401350301012054
1449,401350301013028
1436,401350302023030
584,400659683001140
580,400659683001275
581,400659683001254
425,400413756022014
409,400413757013040
538,400579678003019
585,400659686004031
587,400659684001089
75,400151616021126
1451,401350302022027
1452,401350304031009
1437,401350302023110
1439,401350302024023
123,400173002011109
91,400173007023015
123,400173002011092
132,400173001002111
1197,401091078061013
970,401091080031011
1015,401099800081002
1043,401091067041029
1039,401091069033022
1894,401091064021016
998,401091005003036
1073,401091071031002
1024,401091080113000
1024,401091080114013
1893,401091083012002
1888,401091083092006
1908,401091061002028
982,401091059071002
1900,401091066012018
1185,401091083022018
982,401091059071015
121,400173001001153
652,400739581004122
644,400739581004202
641,400739584002131
641,400739583002094
91,400173007023020
90,400173005002006
951,401051722001046
946,401051724003007
951,401051722001004
620,400710013022048
1022,401091092021050
1127,401091083182024
976,401091066022020
1184,401091063023001
998,401091005003042
1900,401091066011010
1048,401091069141009
1188,401091081062000
1064,401091070011011
971,401091080091014
1900,401091066012002
1038,401091067082001
1015,401099800081004
1139,401091083222007
1147,401091085262007
1155,401091083231012
1902,401091065023012
1152,401091083251011
1856,400039560001127
19,400039560001573
19,400039560001453
160,400198927002024
142,400198925012035
156,400198925022005
156,400198925022036
869,400890985023071
846,400890987005004
846,400890988005052
858,400890984002059
732,400819612001012
1341,401230893002011
1929,401270978001264
1932,401270978002177
1939,401270976003111
1331,401230895982008
1336,401230891001059
577,400659688002026
578,400659682001089
584,400659683001105
580,400659683001373
449,400470012004318
446,400470015005011
468,400470011003038
19,400039560001171
15,400039556001136
472,400470002001049
461,400470012003026
470,400470016031058
1341,401230896001004
1325,401230896001136
1324,401230896001107
1936,401270976003205
1930,401270977022147
807,400970401003003
814,400970407001082
535,400579678001283
538,400579678002160
533,400579678001062
535,400579678002097
576,400659688001035
574,400659684004000
583,400659681002150
585,400659686002022
575,400659685002062
584,400659683001204
584,400659683001197
1877,400013769001000
1877,400013769001069
551,400612793001063
549,400612792001045
552,400612793002030
547,400612794001036
496,400510001001021
641,400739582002185
1265,401190114004015
1272,401190101011013
1269,401190111042036
1280,401190110012064
1268,401190113013006
1278,401190106004012
641,400739582002204
643,400739581001050
646,400739584001152
531,400559672001171
531,400559672001154
91,400173001002156
100,400173012012015
124,400173002014016
101,400173012011007
122,400173002011223
132,400173001002119
123,400173002011245
122,400173002022125
120,400173007023121
180,400219782012094
173,400219782021018
863,400890983001147
858,400890984002049
856,400890984001024
1797,401470013004000
164,400219780002023
1796,401470013001006
207,400259501001613
209,400259501001264
871,400890986002020
868,400890985021183
847,400890989003030
868,400890982003505
47,400099668003024
50,400099661005013
49,400099668001447
185,400219776002073
1805,401470008003014
1806,401470009002026
1796,401470013001061
1798,401470013004039
1787,401470004001012
575,400659685002097
586,400659683001034
933,401039566001096
930,401039571002169
931,401039571001208
55,400099665002115
55,400099665001314
415,400413759021016
414,400413759012004
415,400413759022045
405,400413758031002
415,400413759022029
426,400413761001102
405,400413758031001
416,400413760002031
208,400259501001598
412,400413756011030
120,400173007022079
97,400173002023143
120,400173007023114
121,400173001001141
121,400173001002053
97,400173002011217
91,400173007023037
551,400612793001048
547,400612794001045
553,400612792002023
868,400890985021019
862,400890982002068
870,400890986005045
851,400890989001013
871,400890986002046
844,400890988002016
868,400890982003507
1801,401470011003052
1796,401470013001068
854,400890985011109
853,400890982003225
855,400890984004062
847,400890987002053
176,400219779021027
168,400219782011026
1801,401470011004021
1787,401470004003016
1801,401470011001007
1801,401470011002009
1788,401470007003030
1789,401470006021000
101,400173012011006
115,400173013021002
1194,401091025004006
1139,401091083231008
1007,401091078042025
1892,401091063013020
990,401091024001016
994,401091024002005
994,401091024001010
1023,401091088042053
1160,401091082221013
1159,401091082154005
1098,401091074071049
1417,401335835002018
168,400219779013026
180,400219782012124
185,400219777021018
1793,401470010001066
1793,401470010001127
1802,401470011005025
1806,401470012001017
1800,401470012001040
1792,401470006011006
1804,401470009002008
1791,401470005001012
1423,401335836003040
1414,401335838002048
535,400579678003046
897,401010003005044
351,400353733002067
358,400353733003001
351,400353732001061
354,400353733002049
356,400353735001081
928,401010004002070
905,401010014022142
925,401010003004015
919,401010011002210
912,401010006004053
909,401010009012018
897,401010003005050
357,400353732002126
351,400353734002000
354,400353733003015
1455,401370004004012
21,400039557001143
443,400470006021054
468,400470011004053
459,400470011001154
460,400470011002055
16,400039560001054
21,400039557001182
1480,401370001021014
130,400173010102027
137,400173009041013
810,400970408022077
1766,401450304021016
1878,400013769002033
1814,401499650002177
1812,401499649001042
1810,401499649001012
1370,401299600002171
1813,401499651001272
1818,401499651001121
656,400759637001209
659,400759642003041
929,401010012001041
923,401010009011002
926,401010007002042
359,400353735002021
359,400353735002145
904,401010015022002
912,401010013022030
905,401010014022127
906,401010015011013
908,401010015011190
359,400353735002091
359,400353735002108
351,400353733002080
943,401051724006046
943,401051723001112
944,401051723002150
949,401051721001110
948,401051721002031
942,401051723001092
1463,401370009011153
1455,401370004003084
1476,401370009023040
1480,401370001023042
1462,401370008004102
1459,401370008004110
1474,401370009021036
1463,401370008004150
1479,401370008004185
1466,401370010001020
1458,401370003001014
656,400759637003013
733,400819613002028
181,400219781004025
293,400293881001033
298,400293882002028
201,400239669001036
197,400239671002035
195,400239672003000
187,400239673003058
835,400874002013045
818,400874004001021
818,400874004001066
667,400770872002028
669,400770872004003
836,400874002013012
841,400874003005035
534,400579678001124
577,400659681002147
498,400510007021195
511,400510009023001
516,400510007021029
491,400510005021059
500,400510008012048
496,400510001001133
810,400970408022082
948,401051721001034
948,401051721002015
942,401051724006042
182,400219782021061
179,400219782011079
898,401010008013002
904,401010015023031
899,401010011001094
728,400819612002064
730,400819616002145
721,400819613003116
585,400659686002057
585,400659686002049
1477,401370009011094
1456,401370001023038
350,400353731002002
928,401010003005005
914,401010012001121
1852,400137961012060
1842,400137957001068
176,400219779023003
164,400219780002010
165,400219781002051
176,400219779022002
774,400939552001033
1933,401270978002208
1932,401270978002187
1939,401270976001075
1934,401270977021021
1336,401230892002022
1321,401230893001044
1336,401230891001052
1326,401230886002084
1329,401230886003031
1335,401230895982097
1333,401230887002070
643,400739581002023
645,400739582001206
181,400219781003003
1461,401370011003124
1458,401370002002018
1462,401370008003066
852,400890982001319
1335,401230895982045
1471,401370011001052
1469,401370008001153
1461,401370011003121
1455,401370006003045
1455,401370006003046
1471,401370011001051
1478,401370001022071
1472,401370003002007
1929,401270978001036
1944,401270977011001
1336,401230892002018
1942,401270978001223
324,400310022012031
324,400310022011082
313,400310011002051
338,400310023022089
1472,401370003002049
1472,401370006001073
1462,401370008004259
1461,401370011005073
1470,401370011003052
511,400510009023043
673,400770871001114
674,400770872002001
672,400770871002083
667,400770872002038
668,400770872003049
669,400770872002056
834,400874001042018
459,400470011002080
455,400470014021001
461,400470016021092
1327,401230891001076
1337,401230888013009
1769,401450306013004
1779,401450307983056
1,400013768001013
268,400874004001012
820,400874002011102
828,400874001062000
826,400874001045019
820,400874002011096
830,400874003004036
830,400874003004041
820,400874002011105
842,400874001032005
826,400874001032022
823,400874001031081
821,400874002032004
833,400874001031026
827,400874001061012
833,400874001031032
821,400874001033059
88,400173002023140
121,400173001002058
94,400173007022034
92,400173006001000
93,400173006001014
115,400173002024051
137,400173010013001
132,400173001002103
309,400310024061030
326,400310021022068
79,400151618002011
572,400634848001075
571,400634847001135
837,400874002011051
832,400874002043046
871,400890986002014
848,400890989003032
864,400890987001087
945,401051722002009
952,401051722002056
952,401051723002148
173,400219782023030
567,400634847002023
569,400634850001118
1856,400039560001027
448,400470012004143
448,400470012004074
462,400470014022020
464,400470013022020
587,400659686003026
83,400151623002013
82,400151621021050
85,400151620004055
81,400151621011010
512,400510009011087
512,400510009012003
1943,401270978002230
115,400173013024011
123,400173002011293
118,400173014092000
1496,401410705001041
1500,401410701001106
1497,401410705001144
1499,401410702001126
1500,401410701001242
1497,401410705001194
1497,401410705001288
1930,401270977021159
1336,401230892001036
1935,401270977021230
1935,401270977021222
1934,401270977021072
1941,401270976002001
1336,401230889001007
1449,401350302024004
1438,401350303034010
1438,401350303033004
1432,401350303043023
1438,401350303011011
1435,401350304012009
773,400939552001234
778,400939552002030
736,400819616002105
869,400890982003382
853,400890982003578
864,400890987001050
1951,401155741004039
1331,401230895983028
1337,401230888021034
1339,401230888022010
1333,401230887003000
1334,401230895981023
139,400198930013017
149,400198930012020
1321,401230893001032
1331,401230895982024
1333,401230887002055
1334,401230895981016
427,400439593001030
433,400439592001245
62,400119590001024
434,400439591001365
433,400439592001067
62,400119590002040
64,400119588001244
64,400119589004043
64,400119589003005
59,400119589003061
666,400759642001304
205,400259501001109
209,400259501001972
209,400259501001283
1433,401350303042045
