block2vtd,block_GEOID
328,410159502021010
363,410333606023023
694,410333605002001
339,410159503023017
327,410159502022036
335,410159502012027
327,410159502022032
683,410159501001543
361,410333611013007
683,410159501001078
328,410159502021019
683,410159501001119
681,410159503014130
679,410159504012139
683,410159501001102
328,410159502022082
335,410159502012066
705,410290025002196
635,410290030021014
650,410290013042003
654,410290017021013
659,410290016011008
999,410290024001025
1168,410290010013001
662,410290006052001
653,410290013043046
999,410290025002212
343,410159504022014
686,410159501001281
332,410159503014232
332,410159503014215
347,410333613011054
698,410333614002053
335,410159502012030
329,410159502011032
999,410290024002067
645,410290023002011
638,410290021003019
699,410333616022015
368,410333613012015
698,410333614002025
699,410333616023021
1167,410333612011011
702,410290023001024
673,410290011002015
1168,410290009011018
703,410290026002261
651,410290010024023
133,410670305012003
114,410670318202005
96,410670316262013
1252,410670324111005
1219,410670327004032
351,410333616011027
695,410333613011057
699,410333616022044
1245,410670328001000
690,410333601002001
690,410333601001106
361,410333607041007
123,410670310122008
74,410670325013035
727,410290029021168
705,410290025002155
645,410290023001050
702,410290023001028
649,410290025001061
664,410290020001000
645,410290023002043
648,410290001002017
640,410290022003009
976,410099704001025
1250,410670321101044
127,410670333021024
127,410670333023067
101,410670316121006
96,410670316261003
58,410670326061006
60,410670315061004
66,410670321071029
91,410670315145011
119,410670329011033
108,410670319142000
62,410670324092002
952,410099709004023
123,410670310052007
119,410670329013022
73,410670317063001
90,410670326122005
133,410670305014008
122,410670318133001
1235,410670304023008
111,410670322012006
90,410670326123014
113,410670310091002
103,410670312011003
728,410290028001049
663,410290001002006
663,410290001002014
725,410290027012069
1168,410290011003012
674,410290008001004
473,410019506003385
137,410670319143005
62,410670324102008
110,410670320012000
119,410670329012022
113,410670310084017
471,410019501001157
471,410019501001161
469,410019505001031
469,410019501002051
468,410019503003051
468,410019503003046
1251,410670316173022
112,410670321121010
125,410670335002023
128,410670331021000
1208,410670336003063
1252,410670323022013
1228,410670314032026
958,410099702011014
955,410099708003008
945,410099710001002
1221,410670319162018
1202,410670301043007
55,410670315193013
477,410019505001137
478,410019502002022
549,410019506002035
468,410019501001102
473,410019503003011
479,410019504003027
114,410670310092008
54,410670327003018
968,410099711002053
582,410699601002164
470,410019501003060
468,410019503002150
581,410699601002379
477,410019505001099
479,410019504003031
1214,410670321042005
1232,410670306001002
952,410099709001060
967,410099711001032
134,410670305021007
122,410670318181004
741,410659708003119
72,410670326035039
56,410670315192018
127,410670333015017
1148,410659701002030
741,410659708003282
736,410659706002064
734,410659708004153
549,410019506001127
497,410019501001333
108,410670308012008
1246,410670301043014
56,410670315202005
68,410670321071018
75,410670325031015
735,410659707001093
1002,410050240002053
1002,410050240002142
244,410050232021004
280,410050204032021
238,410050202011018
285,410050232023014
275,410050206021003
1132,410050203022008
1143,410050243023055
224,410050220004005
221,410050225011008
480,410259601021490
436,410170013013021
434,410170013022032
718,410170005021224
720,410170002022081
719,410170003014004
443,410170001001381
443,410170001001355
482,410259602002041
482,410259602001419
1001,410059800001230
292,410050205041019
1134,410050207002001
282,410050226062025
1004,410050238004040
1182,410050209002009
232,410050229013025
274,410050206021017
1169,410050242001004
1169,410050242004013
1145,410050222073001
289,410050234032020
1145,410050222083040
591,410239601001276
591,410239602021044
490,410619705003025
491,410619702003312
1333,410379601001237
1335,410379601002129
1334,410379601003459
1319,410379601003876
1321,410379601001817
1335,410379601003258
150,410510011011035
158,410510023033041
139,410510047002007
139,410510050021013
156,410510008021013
168,410510027012021
205,410510104051014
167,410510073001175
176,410510079002009
144,410510059033002
1236,410670313012003
985,410670331021039
105,410670318142010
160,410510036021035
1217,410050227081043
1145,410050232011021
221,410050226051013
279,410050239022003
156,410510004012022
140,410510048003002
166,410510040024005
204,410510105001005
1342,410510070023007
158,410510034014006
158,410510034014001
158,410510037023031
1141,410050243043081
265,410050236002022
263,410050224002019
1001,410059800001128
226,410050208003005
324,410110004012003
323,410110003004000
294,410050204031014
307,410050222061004
286,410050222081008
240,410050204042023
1267,410459709002252
1267,410459709002283
30,410710304005019
991,410710310002055
990,410710309002029
31,410710307023035
847,410390015003017
1161,410390028003031
875,410390005001085
872,410390004041002
856,410390021032030
850,410390044053004
1134,410050227021024
1281,410459705006006
1267,410459709002130
1278,410459709002349
1278,410459709002350
1281,410459705006022
965,410099709001043
1205,410670334002050
977,410099703001004
952,410099709001058
947,410099706002050
283,410050202021006
263,410050223012061
288,410050222072033
248,410050234013004
223,410050221081034
1234,410670319091019
127,410670331012009
978,410099702022078
949,410099711001030
1150,410192100001549
1288,410419517002102
1297,410419501001038
1295,410419506021012
1292,410419518003037
174,410510080012011
180,410510083022006
218,410510091022005
167,410510073001025
213,410510104054010
1142,410510105003063
1197,410510068022010
1189,410510001022002
158,410510037022037
158,410510034011014
1200,410510052011006
