block2vtd,block_GEOID
90,440090515033040
77,440090511013077
77,440090511013042
111,440090513023057
78,440090511022051
107,440090512011012
91,440090515031006
81,440090505003100
83,440090505001031
102,440090506001026
113,440090508015000
97,440090504012003
89,440090515023028
78,440090511022009
110,440090513041051
117,440090508013008
114,440090509013011
90,440090515043006
100,440090504012050
102,440090506001016
96,440090501041044
81,440090505003109
87,440090515021034
118,440090510001022
90,440090515042039
103,440090506002048
102,440090506003012
97,440090504012017
358,440030209033011
377,440030214021021
402,440030201011009
364,440030217002021
101,440090501034004
361,440030221003003
383,440030212002027
365,440030215023005
369,440030221001024
388,440030213001028
369,440030221001044
351,440030206034030
356,440030209042009
382,440030210023006
386,440030220002024
399,440030203001009
403,440030201023028
398,440030205001027
389,440030219032057
374,440030211004048
344,440030206021006
345,440030206013014
358,440030209032037
365,440030216002000
394,440030208003000
387,440030222021003
388,440030210022001
364,440030217002035
342,440030206022032
390,440030222015004
210,440070002001001
210,440070002003004
163,440070132023024
247,440070112004003
278,440070132023034
298,440070015001014
41,440070130024024
148,440070128033040
66,440070141003052
300,440070029005032
39,440070129002040
167,440070157002016
211,440070035004015
239,440070140005014
42,440070146001012
298,440070015001028
285,440070168001003
265,440070133004009
53,440070108002005
120,440070104003025
418,440070021011002
315,440070179002005
171,440070160001015
298,440070015002004
159,440070120005014
176,440070150002003
209,440070012003004
415,440070026002003
211,440070035001000
221,440070180001002
420,440070019003020
38,440070144002016
148,440070128032037
163,440070132012011
190,440070033004006
39,440070130022039
246,440070141002016
55,440070146003008
50,440070111002023
177,440070151002012
300,440070029004031
179,440070029005015
191,440070001011000
126,440070131012043
44,440070145021035
237,440070139002009
297,440070001024009
151,440070128033025
267,440070123002043
224,440070173003013
163,440070132022043
253,440070114021061
295,440070034001009
295,440070034001016
65,440070145012030
49,440070110003002
250,440070113022002
176,440070150001019
37,440070130012011
164,440070132011026
163,440070132012034
422,440070019004000
201,440070017002011
309,440070006001084
199,440070028022007
292,440070163002010
124,440070106001013
183,440070024006006
416,440070027003021
168,440070170005018
232,440070013002008
282,440070167002021
126,440070131012050
173,440070169002022
125,440070101023015
162,440070118004026
134,440070122003037
280,440070159003005
417,440070021024001
251,440070114042025
179,440070029001014
309,440070005003017
411,440070004001007
253,440070114021037
216,440070126021016
251,440070114052015
418,440070021011008
176,440070150001027
421,440070018001000
148,440070128031017
237,440070139001003
120,440070104003022
37,440070130012068
43,440070129002002
57,440070145012038
57,440070145013022
249,440070114054007
151,440070128032012
40,440070130012072
264,440070131021025
135,440070122002065
135,440070122002051
148,440070128022035
148,440070128033046
74,440070112002013
74,440070112003012
25,440050414001035
21,440050417011054
9,440050401023016
28,440050406004008
5,440050413005062
34,440050409002008
34,440050409002060
34,440050409002066
6,440050403021018
10,440059900000003
20,440050401041052
34,440050409002106
16,440059900000029
27,440050410001024
10,440050401011003
17,440050416022008
17,440050416021010
27,440050408002021
5,440050413001055
12,440050401053046
31,440050412001004
332,440010309012014
326,440010309022004
323,440010301003007
324,440010301001011
20,440050401041067
321,440010304002012
323,440010301003027
323,440010302002023
95,440090503021000
94,440090503011048
93,440090503012010
88,440090515031023
114,440090509013034
113,440090509011046
81,440090505002029
97,440090504012014
115,440090509022045
83,440090505003002
101,440090501034002
107,440090513051023
117,440090508022047
89,440090515024020
101,440090501041006
367,440030215012026
351,440030206033034
405,440030202003044
375,440030219023003
393,440030219012015
349,440030207022043
367,440030215012004
367,440030215012023
407,440030202001004
384,440030213003022
345,440030206021005
364,440030217001025
103,440090506004043
84,440090507024016
95,440090503023027
97,440090504012030
107,440090512024008
93,440090501032069
95,440090503021002
113,440090509011030
358,440030209033036
338,440030206011017
372,440030221002021
364,440030217004001
365,440030215024004
338,440030206011023
374,440030221001003
377,440030214013019
391,440030212001011
342,440030206033022
377,440030214012015
388,440030213001032
353,440030207033008
382,440030210023001
396,440030208001006
379,440030223001000
355,440030206034020
371,440030211004057
378,440030222013007
398,440030205002025
345,440030206022008
373,440030211001035
355,440030207032001
340,440030207011005
368,440030217001002
114,440090509013014
87,440090515022000
79,440090511011013
380,440030218002010
357,440030209031014
384,440030210023055
388,440030210022023
407,440030204001013
397,440030208002053
343,440030206031000
388,440030213001014
356,440030209042025
392,440030219031023
397,440030208002050
399,440030203001019
398,440030205002016
377,440030214012014
404,440030205002009
402,440030201011004
330,440010308002018
337,440010306013029
326,440010309022029
322,440010304003006
326,440010309023011
328,440010307004006
330,440010308002012
52,440070137012015
273,440070119021006
264,440070131023036
283,440070171002017
282,440070167002032
240,440070136002009
146,440070117011053
126,440070131011036
250,440070113023033
154,440070119023026
162,440070118001002
152,440070128022010
317,440070175002005
190,440070032002005
250,440070112001008
39,440070130021050
196,440070024004014
58,440070143001003
307,440070023003001
197,440070023005010
297,440070001024031
195,440070001013006
215,440070126024023
171,440070153001000
260,440070107022002
73,440070113012011
416,440070027003009
129,440070133001017
44,440070145023008
168,440070170004000
62,440070138001021
249,440070114033036
120,440070104004014
296,440070037002015
192,440070006001053
258,440070101013013
306,440070014005007
153,440070121042007
46,440070144001031
319,440070152002002
215,440070127012001
36,440070130021080
270,440070123002053
62,440070138001023
228,440070178002004
227,440070177001025
289,440070161002011
223,440070173002006
221,440070181002018
55,440070144003002
153,440070121023004
134,440070125003000
54,440070140005026
54,440070140005024
123,440070107023041
263,440070103002001
313,440070023001000
237,440070139002008
249,440070114033016
412,440070006001060
66,440070140003000
148,440070128033028
227,440070177002010
123,440070107023025
75,440070105011021
165,440070155002003
156,440070121021009
242,440070141003019
39,440070130022042
220,440070127012025
138,440070115002020
71,440070114022063
57,440070146004000
123,440070107011001
36,440070130024002
65,440070145021026
278,440070132013021
70,440070114035023
59,440070142002027
44,440070145022028
37,440070130011014
423,440070020002039
247,440070112004002
140,440070117023004
415,440070026003004
133,440070124012016
178,440070171001023
283,440070170001008
168,440070170003018
333,440010309024019
18,440050401042023
29,440050406004024
18,440050401021018
27,440050411003011
333,440010309013011
4,440050413003015
22,440050417021032
18,440050401042016
10,440050401011037
337,440010306011021
326,440010309023030
322,440010304003023
22,440050417021008
31,440050412001029
27,440050408002020
18,440050401023068
16,440050417022016
6,440050403022027
77,440099901000021
95,440090503021023
118,440090509023063
89,440090515022038
90,440090515043021
89,440090515022032
108,440090513053022
95,440090504011018
96,440090501032018
103,440090506002037
117,440090508021026
96,440090501041030
77,440090511011061
79,440090511012047
93,440090501021013
81,440090505002074
87,440090515025001
1,440090513022012
99,440090501033004
89,440090515024017
81,440090505002012
88,440090515044054
117,440090508022042
96,440090501031033
99,440090501032048
107,440090513051011
107,440090513051033
362,440030211003033
338,440030206011016
344,440030207031053
404,440030223002011
372,440030221002011
386,440030220002026
394,440030208003005
373,440030211001020
353,440030207033014
393,440030219012026
373,440030211001012
367,440030215014011
378,440030222012010
361,440030223002012
398,440030204003003
403,440030201023012
377,440030214021039
356,440030209032028
356,440030209042018
389,440030219032054
350,440030207033054
381,440030210012001
401,440030202003039
387,440030222021009
360,440030209013048
379,440030223001008
371,440030219011016
368,440030216001022
402,440030201011000
340,440030207011083
394,440030208003011
210,440070002002004
64,440070140003006
64,440070140003017
189,440070007003005
408,440070008002011
