block2vtd,block_GEOID
1415,450719505024020
1415,450719505024028
1416,450719502041061
1413,450719502043026
1413,450719502042018
1422,450719507002006
167,450790103043026
109,450790106003009
175,450790103081001
92,450790013002002
229,450790114072093
161,450790103051030
202,450790114201002
178,450790103101000
183,450790118013034
108,450790024001000
117,450790117021002
201,450790101091034
188,450790101043028
185,450799801001002
229,450790114141034
208,450790107021003
199,450790114192020
211,450790108061006
101,450790011003025
1430,450719501002059
1434,450719506013057
179,450790103143000
168,450790104141011
116,450790105021007
112,450790009001018
211,450790108061014
109,450790106003064
116,450790105021039
150,450790103132055
106,450790025002008
168,450790104141007
196,450790114242021
210,450790107012009
1435,450719501003028
105,450790003001015
1440,450719506041004
1440,450719506043019
1414,450719505025040
1423,450719502032081
1412,450719502043008
230,450790114072108
150,450790103132059
115,450790113061029
170,450790104112003
165,450790103151042
168,450790103042001
172,450790104072040
183,450790118013013
135,450790119022042
193,450790101052026
192,450790101062037
86,450790031001023
109,450790002001001
166,450790103041027
209,450790102001054
96,450790026021028
185,450799801001006
86,450790031001038
136,450790116043003
185,450790116032019
212,450790105011010
101,450790011002015
101,450790011002022
86,450790031002040
134,450790116063024
184,450790118012006
136,450790116044006
97,450790025002019
230,450790114072004
329,450299701002046
191,450790102001046
230,450790114072017
148,450790119012033
138,450790111021017
186,450790116081052
115,450790113062041
213,450790111021001
145,450790111023018
126,450790011001020
111,450790002001032
229,450790114072072
87,450790006002011
192,450790101061057
117,450790117022073
119,450790106002018
147,450790116084022
2076,450570111001068
2026,450230204001013
1433,450719507003043
1419,450719507001060
1432,450719506012043
1428,450719501001041
1433,450719507003022
1422,450719503003028
1440,450719506044002
112,450790010001004
228,450790101091010
157,450790103112017
172,450790104072020
172,450790104072042
172,450790104073010
332,450299704011047
322,450299705021043
332,450299704011002
336,450299706011058
338,450299701002042
337,450299705013024
326,450299705022051
259,450150204012064
273,450150206022041
257,450150204012016
234,450150208061006
280,450150204061043
2019,450230202001044
2019,450230202002019
2031,450230209001029
2030,450230208003020
101,450790011002001
112,450790009001017
89,450790029001042
2090,450570105002018
2089,450570105004009
2080,450570109001024
2108,450570112061010
2038,450230210002052
2030,450230208002055
2036,450230202004012
2019,450230202001015
1016,450279601002038
1034,450279607031037
1034,450279608021015
1021,450279800001000
1022,450279602011001
1034,450279608021004
1035,450279608023044
2003,450350105082023
1977,450350108132007
1979,450350108143007
1935,450350104001024
748,450899709001062
724,450899701002019
747,450899708013026
747,450899708013015
1949,450350106033000
1928,450350102002017
2004,450350105061015
149,450790120003003
152,450790104031059
88,450790007002016
214,450790113051017
133,450790111011029
209,450790102003034
208,450790102002025
225,450790101071010
117,450790117022003
467,450599208003023
476,450599201061006
476,450599201062018
499,450599204002012
476,450599201051041
474,450599201082052
489,450599205041006
1634,450070106013016
1828,450479709002043
494,450599203024005
472,450599201041013
482,450599202023013
469,450599207003049
467,450599208001043
494,450599203023040
727,450899707001004
1953,450350106042011
