block2vtd,block_GEOID
317,460990101021042
652,460990104042017
634,460990104061065
307,460990104021019
330,460990006001019
309,460990105022040
313,460990101023045
642,460990010021028
348,460990103004021
641,460990001001046
673,460119590002011
680,460119587002110
102,460379527001156
99,460379527002246
99,460379527002280
255,460919508003087
190,460739741001217
194,460739741002061
194,460739741002070
39,460239403003054
46,460239701001259
355,461019596003176
315,460990102003011
193,460739741001315
190,460739741001357
348,460990103001053
46,460239402001040
42,460239402001100
45,460239701001149
500,460239701002105
104,460379529001021
612,460379529002092
101,460379527002012
541,460159731002033
627,460059568002009
625,460059569001006
499,460199676001164
156,460579551002027
634,460990104063009
651,460990104041058
641,460990002012010
328,460990009001005
256,460919508002305
259,460919508002579
624,460059567002019
629,460059566001242
497,461379416002012
261,460919508002038
100,460379527002323
104,460379529001001
99,460379527002275
100,460379527002229
256,460919508002444
103,460379529002010
101,460379527002141
100,460379527002349
505,460319411002031
681,460119586002127
671,460119587004089
675,460119587002118
682,460119587004117
674,460119588033012
675,460119586001079
197,460799603001103
198,460799601001026
198,460799601001073
202,460799602022015
197,460799603001126
224,460830101142061
214,460830104003100
12,460099676002229
623,460059566001034
624,460059567002224
623,460059566002280
11,460099676002074
11,460099676002068
157,460579551002097
539,460159731003184
621,460059570001018
200,460799601003064
541,460159731003022
621,460059570001011
628,460059571002042
304,460979616003252
305,460979616003168
304,460979616003195
11,460099677001111
605,460830103003003
61,460299543011015
66,460299544012012
39,460239403002080
42,460239402002022
42,460239402002029
237,460830101133001
535,461379416001033
498,461379416001072
504,460319410001114
504,460319410001095
495,461379416001080
505,460319411001067
445,461219402001082
42,460239402002042
39,460239403002062
155,460579552002122
30,460199677012057
27,460199676003033
681,460119586002084
668,460119589005008
668,460119589005006
668,460119586002102
505,460319411001100
71,460319411002054
505,460319411001000
505,460319411002015
581,460299543021046
579,460299541002005
10,460099677001221
13,460099677002140
205,460799602021036
205,460799602011002
39,460239403002184
42,460239402001159
211,460819663041033
212,460819662003043
198,460799601001076
156,460579551002055
66,460299544012026
567,460299541001126
571,460299541002202
571,460299541002131
583,460299545012008
580,460299543023003
568,460299546002321
577,460299545012065
577,460299546001142
571,460299541002185
579,460299541002250
19,460199676001100
621,460059570002007
627,460059570003049
627,460059570003062
627,460059570003084
300,460979616001014
306,460979616002287
673,460119590003010
679,460119586004039
11,460099677001082
196,460799603002055
204,460799601002003
672,460119589003009
225,460830101141066
225,460830101141072
229,460830101102009
224,460830101141004
679,460119586004055
679,460119586004076
679,460119586002057
556,460959403001555
557,460959403002175
155,460579552002109
499,460199676001150
678,460119587001043
671,460119588031026
212,460819663011071
207,460819666022027
209,460819663011025
205,460799602021016
118,460419417001065
11,460099677001286
13,460099677002053
12,460099676003067
11,460099677001149
13,460099677002033
13,460099677002062
682,460119587001211
197,460799601001165
303,460979616002225
302,460979616002327
677,460119587004131
69,460319411001003
559,460959403002251
541,460159731003018
8,460079410002009
7,460079412002015
6,460079412002112
8,460079412002079
8,460079412001069
211,460819663041025
561,460819666011062
560,460819661012100
213,460819661011028
624,460059567002133
624,460059567002226
6,460079412002098
7,460079412002048
629,460059566001198
625,460059569001041
622,460059566002354
623,460059566002295
624,460059567002151
624,460059567002208
540,460159731003051
539,460159731003225
560,460819661012053
212,460819661011119
560,460819661012088
540,460159731001028
540,460159731001219
15,460159732003032
14,460159732002037
621,460059570003077
624,460059567001071
624,460059567001297
669,460119588044001
676,460119588053003
222,460830101141152
715,461359664001140
738,460779581001081
739,460779581003059
548,460259558005243
208,460819666012081
561,460819661021074
212,460819661011163
449,461219401002015
444,461219401001039
724,461359664003062
739,460779581003072
735,460779582002085
540,460159731001182
6,460079412002089
214,460830104001013
565,460830101152043
237,460830101121009
61,460299543011009
583,460299545012052
582,460299543021029
591,460519533002396
447,461219402001003
28,460199677021029
604,460519533001064
594,460519531007009
588,460519531002153
448,461219402004053
444,461219401001082
444,461219401001026
99,460379527002203
104,460379529001082
101,460379527002413
614,460379529001279
102,460379527001226
249,460879647001084
249,460879647003049
85,460339652002023
653,460659780002033
665,460659777004019
188,460719412001240
188,460719412001177
614,460379529001359
614,460379529001192
616,460379528002094
654,460659780002000
550,460259558002010
437,461150003001219
687,460139519002061
687,460139519001031
691,460139520001124
114,460399536002164
106,460399536003045
102,460379527001199
437,461150001001025
438,461150003001200
432,461150003002088
437,461150001001102
533,461099404001020
426,461099408003080
421,461099408003089
424,461099408003010
424,461099408002159
685,460139520005119
687,460139519001011
686,460139519003250
173,460639687001103
170,460639687001121
170,460639687001263
706,460699767002201
705,460699767002048
653,460659780002021
405,461030109061023
384,461030118001047
609,461030117003047
382,461030110011000
371,461030116021060
547,460259558005320
547,460259558005289
547,460259558005303
546,460259558005064
617,460379528002036
722,461359664002060
714,461359664002020
735,460779582002369
738,460779581001063
123,460439696001107
123,460439696001115
88,460359629002021
124,460439696001183
124,460439696001190
22,460199677012000
31,460199677022037
522,460750916001233
522,460750916001238
145,460499611003119
249,460879647001097
428,461119621003196
428,461119621003186
524,460899631003093
441,461179601003028
466,461259651003032
436,461150003001405
736,460779581004025
490,461299651002183
694,460139515003043
463,461239716002124
460,461239716002416
110,460399536001055
3,460039736003348
133,460459622002033
34,460219641002094
691,460139520003187
488,461299651002187
694,460139514002004
685,460139513002023
1,460039736002044
459,461239717001095
460,461239716002435
479,461270202001100
131,460459622002000
130,460459621001026
546,460259558005052
133,460459622002065
130,460459621001010
717,461359664004033
737,460779581002157
740,460779581001036
479,461270202001098
420,461099407003106
37,460219641002224
527,460899631002349
688,460139520004001
478,461270201001265
422,461099408003299
367,461029411003043
364,461029410001162
3,460039736001008
1,460039736002024
127,460439696002161
123,460439696001053
434,461150001002087
16,460179402002037
536,461270201002193
474,461270201002012
474,461270201002119
16,460179402001030
703,460139513002089
162,460599756001233
441,461179601001054
441,461179601001162
163,460599756002294
147,460539712002350
147,460539712002109
147,460539712002333
519,460599756002177
163,460599756002053
514,460599756002090
148,460539712001201
242,460859401001033
519,460599756002269
513,460599756002385
146,460539711002060
149,460559601002006
729,461199791001269
84,460339651002021
86,460339652001034
366,461029412001083
2,460039736002131
1,460039736002086
1,460039736002109
153,460559601002283
458,461239716002197
180,460679687001000
179,460679686001062
178,460679686001091
180,460679687001036
441,461179601003002
529,461030116023288
400,461030109051015
609,461030117002028
401,461030116022019
379,461030106003005
123,460439696001080
507,460359627001000
3,460039736003119
132,460459622001146
131,460459622001023
529,461030116023268
365,461029410001135
528,460899631002271
225,460830101153046
564,460830102001054
216,460830104002103
582,460299543012017
195,460750916001364
195,460750916001113
185,460719611001235
521,460719611002036
432,461150003002005
434,461150001002031
180,460679687001079
432,461150003002087
437,461150003001202
435,461150003002035
177,460679686003043
182,460679688002059
182,460679688002006
177,460679686003023
180,460679687001117
183,460679688001394
411,461059683003140
413,461059683002027
699,460139517003020
556,460959403001050
559,460959403001148
557,460959403002263
178,460679686001073
653,460659780002189
659,460659777005004
667,460659777002009
409,461059683001102
415,461059683002203
414,461059683002201
250,460879646002119
366,461029412001077
367,461029411002070
690,460139520001155
692,460139513003000
687,460139519001155
699,460139517001034
492,461299651002304
683,460139520005244
683,460139520005250
534,461299651002134
696,460139516001016
184,460719611001070
113,460399536003226
423,461099407002114
135,460479641001032
277,460930203021037
271,460930205002057
136,460479642002015
50,460279658001032
51,460279658002008
189,460719412001099
708,461070001002242
713,461070001001082
55,460279659003013
50,460279658004027
50,460279658001119
51,460279658003011
52,460279658004177
50,460279658001049
50,460279658001192
55,460279659001042
56,460279657003011
51,460279658003016
52,460279658004116
270,460930205003009
429,461119621001323
745,461359664004109
726,461359664003088
714,461359664002082
107,460399537001030
724,461359664003052
249,460879647001297
437,461150001001144
432,461150003002268
52,460279658004094
709,461070001002524
710,461070001002200
51,460279658002049
50,460279658001167
52,460279658003122
52,460279658003168
58,460279659004020
654,460659780002222
656,460659780001038
718,461359664005100
279,460930204022016
270,460930205003028
287,460930202001012
266,460930203041071
134,460479641003032
512,460479641003209
140,460479641001001
140,460479641001078
280,460930203023009
