block2vtd,block_GEOID
626,470851301003014
627,470851301001068
624,470851303003008
623,470851303001043
935,471359302022116
1341,471359301001028
1341,471359301002003
764,470719203003034
1341,471359301001030
999,471099307002060
1000,471099303001095
1009,471099305012015
1228,471019701001031
1227,470999602001086
1227,470999602001085
1210,470999605011025
98,470179625001083
98,470179620001100
1612,471570217601007
1586,471570216113000
1370,471570110103015
1565,471570111002009
1608,471570206102007
1547,471570099022001
1364,471570204002009
795,470719204021031
791,470719206001132
768,470719201002011
512,470459648001008
1486,471570068002005
1469,471570108102004
1564,471570006001001
1564,471570102206013
1570,471570078103001
1446,471570211413009
861,470779751001004
64,470179620003082
518,470459646001053
1209,470999602002058
1186,470999601003013
1226,470999603001071
1132,470999609002031
1185,470999604012001
106,470179622011031
1196,470999606002048
1183,470999606001012
1183,470999606001017
1210,470999605011010
787,470719202002019
612,470831203003000
612,470831203003090
609,470831203001038
608,470831202002037
625,470851305002033
614,470851305002051
625,470851305001052
628,470851302002033
613,470851304002110
329,470519602021041
487,470430603003033
483,470430605011017
489,470430601001066
482,470430604011032
1490,471570211222009
1580,471570024001030
1432,471570206512005
505,470430606013024
505,470430605023038
1608,471570206102002
1433,471570206513012
1580,471570039001014
546,470459644021005
546,470459644022007
517,470459648001161
512,470459649002012
546,470459644023002
546,470459644021026
526,470459642001046
512,470459640021035
545,470459640011051
612,470831203003005
612,470831203002004
584,470519607003036
327,470519606001006
324,470519604011027
324,470519604011054
324,470519604011045
324,470519604011079
326,470519602023009
509,470430606023027
480,470430604022009
577,470499650003007
576,470499651001019
579,470499652022009
574,470499652012031
580,470499653001053
862,470779753023037
864,470779752004070
993,471099301002050
997,471099306001036
1435,471570213121009
1435,471570214102008
1435,471570214102012
1387,471570093003021
1466,471570092013015
1211,470999605011005
1183,470999606001074
623,470851303001045
1772,471690902002000
1778,471690901002007
896,470799696023088
890,470799697001042
896,470799698002072
896,470799698002105
1231,471019701001166
1321,471190108011016
928,471190112002001
929,471190102013028
1353,471190110031011
1320,471190101001067
928,471190112001119
1321,471190108024015
1321,471190108023035
1323,471190108021089
994,471099305011082
997,471099306001055
997,471099306001027
861,470779753023014
872,470779752001062
996,471099302001006
1000,471099303001017
1007,471099306002032
99,470179623003061
102,470179621021042
106,470179622011015
97,470179625002056
892,470799696011025
912,470799694001065
897,470799690011050
370,470539673001065
370,470539673001050
368,470539662002060
380,470539673001028
889,470799691001059
1229,471019701002072
893,470799696022033
889,470799691003004
897,470799690011051
891,470799690022035
911,470799694001013
893,470799695023000
889,470799691001066
1267,471179552003027
1272,471179553002014
391,470559202001102
383,470559205004036
392,470559201001111
397,470559203012000
394,470559203013015
1315,471179552003034
582,470499653004008
890,470799697001055
896,470799698002062
926,471190104021006
1319,471190101003072
1602,471570223302020
1449,471570017001031
1552,471570053002017
1555,471570053001019
1565,471570111001000
1385,471570107101020
1440,471570213341011
1368,471570101202009
1367,471570102103008
1483,471570027002015
1491,471570211431027
1376,471570208374051
1610,471570205425001
1487,471570069003011
1492,471570026001007
1470,471570217212002
1293,471319654002057
1287,471319651002036
380,470539661001042
362,470539668001025
363,470539663002045
345,470539667011018
370,470539673001086
369,470539662001014
348,470539674001088
328,470519608001002
928,471190112002030
335,470519604012020
332,470519603003006
324,470519604011057
480,470430606022062
525,470430605013037
1505,471519752003006
1500,471519754001031
1505,471519753001042
1505,471519753002054
941,471379251021045
1481,471570030001001
1580,471570039001018
1595,471570046002039
1355,471190105002016
1324,471190107002004
1352,471190108012023
1353,471190110011092
1356,471190111011040
1358,471190103021066
480,470430606022071
480,470430604021056
485,470430602012018
506,470430602021038
484,470430602021082
124,470110115013046
128,470110114032023
1089,471459801001105
1095,471450307003058
1449,471570007004013
1421,471570213571005
1547,471570201011036
1517,471570215303019
1593,471570206352017
1548,471570004001001
1581,471570021001008
377,470539670011020
897,470799690011005
912,470799693002011
912,470799694001036
897,470799690021028
623,470851303001030
613,470851304001141
321,470519607002099
326,470519602022124
1000,471099303001075
1273,471179552001007
1273,471179553001012
1611,471570088003004
1552,471570055003034
1532,471570115001013
1386,471570106103015
1386,471570106103000
1581,471570001002019
1319,471190101003056
1356,471190111021026
1323,471190106005003
1353,471190110031022
1502,471519751023002
941,471379251021049
626,470851301003005
613,470851304002070
993,471099301003014
998,471099305023018
861,470779751001027
867,470779750001052
866,470779750002067
1009,471099305011052
994,471099303002058
994,471099305011010
994,471099303002019
994,471099303002001
1000,471099303001044
998,471099305021090
1504,471519751021000
768,470719201003118
789,470719203001029
1337,471359302012014
1504,471519751022016
1475,471519750001010
1108,471251018082014
1082,471251006021006
1205,471251019061000
1108,471251019053013
1153,471251014001090
1081,471251017022026
1078,471251010022004
1078,471251010022015
581,470499652011019
574,470499653003038
929,471190102013003
1186,470999601003023
63,470179622011041
362,470539669001053
583,470519608001011
326,470519602022123
327,470519606001079
581,470499652011020
574,470499652011048
1619,471611102012059
97,470179625002026
103,470179624001018
1216,470999606002124
64,470179620003009
64,470179620003061
108,470179622011060
395,470559208001009
385,470559208001102
397,470559203013036
397,470559203013019
392,470559201001098
391,470559201001132
384,470559206002030
385,470559208002034
789,470719203003002
795,470719205011083
770,470719202003009
764,470719203001014
770,470719202003053
1337,471359302011117
1337,471359302012005
1339,471359302012001
1698,471819502004085
1697,471819504001123
1715,471819503001025
1715,471819503001004
1054,471251013071018
1201,471251002001012
1205,471251019041008
1205,471251020102015
1192,471251011023015
1192,471251011021009
128,470110106001000
1067,471450304023040
925,471459801001046
1100,471450305001003
1100,471450305001103
159,470110102011012
127,470110114042035
161,470110106001038
613,470851304001081
613,470851304001088
628,470851301001052
613,470851304001033
1326,471319655002105
1326,471319658002003
363,470539663002032
377,470539666002038
357,470539664001012
1096,471450304011037
130,470110112032027
929,471190102013024
1352,471190111022004
1358,471190105003055
1355,471190105005001
1321,471190108011002
928,471190112001105
1355,471190105004017
571,470499650002034
576,470499651003002
