block2vtd,block_GEOID
537,490230101004032
455,490170004001320
547,490251302001066
548,490251301001116
551,490251301001449
551,490251301001441
521,490230102001540
533,490230101005008
534,490230101005037
456,490170003003072
1581,490479402014010
1575,490479684032037
1563,490479402014135
1567,490479402014116
1567,490479402014038
1561,490479682012013
1267,490351139091031
987,490351128134002
1155,490351047003001
1358,490351135391004
1271,490351143041007
1027,490351130221042
657,490351128302015
1104,490351016003016
658,490351128163016
658,490351128163029
921,490351126182007
899,490351130141012
644,490351128231008
683,490351151082033
915,490351126103019
1269,490351143043019
964,490351126172005
1021,490351152111029
1021,490351152111071
827,490351101041010
469,490190002001009
681,490351151081012
155,490070002001051
156,490070003003018
165,490070002001014
1823,490490022042008
1708,490490006031006
1428,490419752001369
1427,490419752001118
1441,490419755001057
1316,490351134091003
465,490190003021007
463,490190003012010
474,490190003022349
1020,490351130221017
1029,490351130252006
1420,490419751001010
1804,490490109002080
1805,490490027021000
1634,490490104111027
1870,490490103071027
1650,490490102173014
1624,490490101073079
1744,490490007082011
1711,490490103071026
1614,490490102091001
1440,490419754003083
1428,490419752001327
1428,490419752001361
1444,490419755002144
1945,490490101313003
1703,490490101314001
1778,490490105041026
1630,490490101202016
1754,490490007091009
1841,490490015043003
1879,490490104042013
1923,490490101161014
688,490351131132032
601,490351128271076
470,490190003022337
601,490351128271068
601,490351128271077
1251,490351135421007
762,490351124051016
654,490351128153002
1030,490351130242020
673,490351131052000
1021,490351152111062
463,490190003012046
831,490351121013005
1013,490351130102003
1375,490351133102000
772,490351125054009
1446,490419755002068
1923,490490101161011
1928,490499801001023
1938,490490104101007
1779,490490105042058
1620,490490102101018
1902,490490029021008
1655,490490001031006
1814,490490017023008
1859,490490104062012
1732,490490008031011
1741,490490011032000
1821,490490022131003
1428,490419752001006
1905,490490105055006
1420,490419751001156
1654,490490102193014
1445,490419755003065
1938,490490104101014
1402,490399725002079
1796,490490006011007
1675,490490102162006
1901,490490029013029
1826,490490021023005
1791,490490005062001
1889,490490030013000
1933,490490105032091
1733,490490008012004
1880,490490032054003
1880,490490032054011
1444,490419755002148
1932,490490101074071
2268,490159765003191
2268,490159765003274
2099,490559791002826
2099,490559791002845
1088,490351140001009
535,490230101002043
1407,490399722001155
1403,490399725002045
1401,490399723002018
536,490230101003013
529,490230102003018
458,490170003003022
2102,490559791002559
2102,490559791002590
543,490251301001230
550,490251302003031
549,490251302004007
2099,490559791002860
2099,490559791002863
2099,490559791002859
2102,490559791002588
2097,490559791002273
454,490170004002217
548,490251301001702
541,490251301001035
528,490230102002203
2250,490572104081011
2200,490572107044013
537,490230101002015
452,490170004001131
547,490251301001773
547,490251302001035
1379,490379420002036
1388,490379782001180
1381,490379782003076
1380,490379782001052
1388,490379420002147
1385,490379782004025
1389,490379782001228
543,490251301001348
2099,490559791002799
2099,490559791002126
521,490230102001134
537,490230102004111
458,490170003002102
541,490251301001110
541,490251301001044
548,490251301001675
2132,490572102013002
2192,490572103053019
2216,490572107041000
2173,490572020001008
2245,490572110001000
2201,490572107032004
2159,490572008001009
2220,490572109001013
2211,490572106003003
1521,490451307071062
1555,490451306002042
1553,490451306002196
548,490251302004036
1406,490399722002026
1391,490399723001085
585,490319601002068
590,490319601002132
1382,490379781001354
1382,490379782001026
1382,490379781001270
1386,490379782002013
1382,490379781003008
1411,490399721011052
1411,490399721011012
1416,490399725003115
1413,490399722001228
1528,490451307042002
1546,490451307062037
1529,490451307083081
1555,490451306002078
1383,490379420001151
1380,490379782001019
1393,490399724011017
2217,490572108002015
2169,490572012002013
2152,490572004002014
2165,490572013011007
2152,490572004001012
2137,490572101011035
2253,490572105143008
2212,490572107043003
2212,490572107043009
2188,490572103034004
2175,490572014003015
299,490111261082022
390,490111254071005
288,490111261013003
321,490111259054022
350,490111264062023
2252,490572105172031
