block2vtd,block_GEOID
1122,511179308004016
1112,511179306001060
1119,511179304011005
1259,511479303021008
1396,511639302002084
1257,511479303011021
1405,511639302001108
1118,511179304022033
1840,517000309002026
1844,517000323005026
1862,517000313003004
1832,517000322271013
1868,517000311003009
1403,511639302003004
1397,511639304001005
2192,511076110232005
2441,511610302011007
2408,511610306021006
2110,518100458031008
2156,518100454212003
2138,518100404045008
2074,518100438001025
2079,518100462072005
47,510050701001005
1396,511639301012019
1259,511479303021018
1257,511479303011041
1259,511479303023029
1257,511479303011036
1405,511639301024010
1395,511639302003055
1406,511639301024001
1404,511639302002090
1390,511639303011063
1398,511639304004023
1397,511639304001060
403,510538405002007
401,510538401011049
2119,518100400001005
2138,518100404044004
2131,518100462201026
1371,511610302051008
1404,511639301012005
1400,511639301022000
1400,511639301011003
1400,511639301022020
1261,511479302021027
1257,511479303011019
36,510050803022051
38,510050803011068
1064,511076110041089
1064,511076110041085
1008,511076118032010
2189,511076112072018
1031,511076101012031
767,510790302013003
763,510790301024022
766,510790301011008
1151,511259502011018
1156,511259503002022
407,510538401021036
407,510538401021038
1115,511179304022011
1107,511179301012034
1102,511179308001012
1107,511179301012006
1115,511179304022046
1109,511179302011023
1107,511179301013046
1038,511076107023013
1033,511076104001000
1064,511076110041037
1004,511076118082043
53,510090106002005
56,510090102013042
758,510770602022001
60,510090102011006
403,510538405002022
791,510839303023000
791,510839304002017
826,510853204002003
813,510853210011005
811,510853212021006
825,510853202003040
749,510770602023038
752,510770602022049
758,510770602022043
1115,511179304021052
1204,511410303022027
1207,511410301022012
1206,511410303022081
1204,511410303022021
1208,511410302021001
1210,511410301022035
676,510650202003008
261,510350806031021
1618,511990502063003
1608,511990509001023
757,510770602021005
758,510770602012057
784,510839306022017
786,510839305004064
2344,510839302021027
781,510839301002027
1056,511076110231008
2284,511076110262018
1031,511076101011036
1057,511076114003004
269,510350801003004
2399,511850202004024
1441,511670305002011
2430,511076118101041
269,510350801003000
2387,510579508001006
2387,510579508003030
1731,515900001001007
268,510350801002040
267,510350802001017
1158,511259501021040
1158,511259503001023
1156,511259503002021
1032,511076102012002
1027,511076107012006
1023,511076108001032
1725,515900006001016
756,510770602021067
2142,518100454323008
2135,518100454291003
2122,518100460061014
2096,518100408023005
2094,518100410043013
2080,518100454263011
2189,511076112072001
1009,511076111023016
267,510350802001028
1209,511410301023009
1733,515900010003001
730,510719302003060
730,510719302003065
2165,518200032003028
2165,518200032001002
1158,511259502011062
1151,511259502011030
1241,515900014001001
1726,515900010003013
269,510350801003049
1045,511076110181005
1062,511076116011008
1017,511076108004071
1208,511410302011007
414,510579506001029
414,510579506001030
2387,510579508002025
958,510950804041011
2308,510950802052006
2121,518100462063003
2113,518100450001038
2122,518100460111008
2418,518100462225004
2099,518100416004001
2113,518100450001015
2107,518100412001000
1024,511076109002037
2193,511076106011015
2188,511076118043024
1033,511076103002036
1035,511076101022036
2357,511670304042033
2445,511850207001066
1436,511670302012006
1440,511670301001014
2357,511670304032016
2313,511610312013001
1204,511410303022054
2159,518100404051002
2441,511610302013019
2436,511610303002019
1389,511610309005008
2102,518100424003013
2117,518100462042024
2272,518100460141004
2078,518100464004029
2101,518100448061000
65,510110403001045
67,510110403003023
65,510110403001059
70,510110401012010
71,510110401021004
64,510110401021035
360,510430101011022
1356,511552104012052
2166,518200034004020
2166,518200035002033
2166,518200035002027
2166,518200032001035
1120,510839304003053
792,510839304002056
805,510853209012004
1206,511410303013010
1822,516859201002008
820,510853211001029
814,510853211001019
1598,511970503011036
1612,511990505002052
958,511990510001039
2316,511970502022031
1157,511259503003039
1156,511259503003060
1153,511259501011049
1151,511259502012004
1156,511259503002038
1154,511259501022005
1414,511650110001111
2380,511650110002008
2378,511650115002032
2399,511850202001011
412,510538403002030
1159,511259502022012
1159,511259502021037
1156,511259503004048
1157,511259503003009
1496,511770203043003
2217,511770203111001
1500,511770201141007
1495,511770201091007
1497,511770201061002
1430,511650101002009
2215,511770203141004
792,510839304002066
2168,518200034001020
270,510350804011031
265,510350805012010
261,510350806031028
1441,511670305002021
2355,511670306003017
1435,511670302012079
1440,511670301002012
2358,511670302021020
2317,511970503015039
1600,511970501022019
2316,511970502013018
2316,511970502012016
1615,511990503043011
1614,511990505003006
1615,511990503043009
1607,511990510001006
2277,517700025012067
2028,517700027001028
2451,511850205003032
264,510350805011093
272,510350803003024
263,510350804021033
1429,511650101001001
1429,511650101001045
2033,517700031003005
2277,517700009001027
1466,511730303023032
1467,511730303013045
2278,517700001002020
2032,517700012001058
2032,517700029003014
2278,517700024001035
191,510230401001051
2393,511850201001048
1208,511410301011043
1208,511410301011022
1206,511410303013033
1210,511410301022041
1212,511410301012052
1598,511970503012032
2102,518100424003000
1154,511259501012081
1428,511650102002013
1407,511650107002044
1407,511650108012019
1407,511650108012015
1426,511650116002027
1425,511650116001053
361,510430102001061
364,510430101023065
1206,511410303023033
1212,511410301021005
1211,511410301021039
1211,511410301021050
1730,515900002003015
1736,515900008003019
1611,511990504022001
1612,511990505002036
825,510853203003032
820,510853211002000
804,510853209022006
826,510853204003019
1496,511770203042011
1591,511959315002001
1589,511959310001013
1931,517402102002038
2028,517700026002017
1469,511730303024040
2399,511850211022003
1436,511670302014048
2455,511959313001035
1930,517402119001021
2031,517700029002005
2029,517700025012069
187,510230403042007
1028,511076110271002
2283,511076119021006
1003,511076110301004
1052,511076110222010
2183,511076105063006
1038,511076107031018
2430,511076118122018
1043,511076105031016
1030,511076110293004
777,510839302031034
1206,511410303021039
65,510110403004019
64,510110403001060
1498,511770202012017
359,510430101022016
363,510430102001026
816,510853207021014
815,510853212013021
1632,515102001101001
2400,511850211011021
2404,511850204002018
2445,511850206001019
1209,511410303012012
1203,511410302022031
2045,517750103002071
1590,511959308001002
1587,511959311002070
2456,511959312001010
1930,517402119002013
1927,517402109003004
1937,517402125001016
1944,517402128012011
1032,511076103004016
1613,511990503061026
1626,515102007031007
1624,515102007043003
1626,515102007052001
1827,516900005001006
388,510499301021010
676,510650202004033
676,510650202004022
973,511019502002033
972,511019503002102
2301,516839104025015
2301,516839104025016
1045,511076110152034
2357,511670302022026
2397,511850207001012
2401,511850211022065
1071,511076110132029
1625,515102004031004
1629,515102011002025
1638,515102003022002
1634,515102002011006
389,510499302002041
823,510853204001031
796,510853206012006
2449,510853201003018
2400,511850203011043
2403,511850209001032
1441,511670301005021
1441,511670301005023
388,510499302001051
1636,515102009001019
1637,515102001043008
1626,515102007051000
1637,515102001043014
1627,515102004083001
1636,515102009001007
1630,515102018031005
1626,515102007031011
2292,515102014001020
2291,515102012042016
1620,515102018022016
1620,515102018022000
1629,515102009003012
1121,511179305002066
1114,511179301031084
975,511019501023007
972,511019503001012
413,510579507001022
1604,511970503022042
1598,511970503012044
1598,511970503021030
1616,511990503041012
1608,511990509001055
1616,511990503033003
676,510650202002038
674,510650201011027
1118,511179305002069
1595,511959315003018
2455,511959313002046
1587,511959311001031
1956,517402130011001
2455,511959313001007
2455,511959313002063
1607,511990510002000
2317,511970502011010
2432,510479305021036
382,510479302033011
