block2vtd,block_GEOID
152,500070030002068
65,500059579003053
153,500070033011024
149,500070036002011
63,500059579001110
62,500059576002045
72,500059573003027
72,500059573003024
73,500059578003088
65,500059579003026
63,500059579001068
64,500059578002040
73,500059578003023
64,500059578002028
67,500059574001098
281,500259676002039
55,500259675002013
101,500219640003060
104,500219636001063
16,500259675001055
36,500259687002034
48,500259687003055
101,500219640003000
117,500219623003026
121,500219637001015
121,500219637002019
40,500259672002017
235,500110102001029
274,500110106003019
232,500110104003026
233,500110101012001
134,500279655012032
132,500279659022050
133,500279654001036
155,500070028002030
155,500070028003005
253,500070009001009
128,500279665011027
144,500279665022005
136,500279663002048
148,500279665021015
127,500279651002012
128,500279665012007
130,500279658001018
125,500279662002033
132,500279659022015
130,500279658002039
125,500279662002016
271,500279667004048
144,500279665022041
237,500110104001059
139,500279661002041
271,500279666005007
136,500279663002009
126,500279657003016
221,500239542002049
212,500239554001009
214,500239541001015
244,500239546001000
208,500239540002073
241,500110110001000
237,500110104002024
234,500110109002063
274,500110106001014
233,500110101012055
207,500239550001023
244,500239548001013
166,500199517003015
212,500239553003013
244,500239546002022
216,500239540003020
245,500239551002009
189,500159536001016
59,500039713002026
190,500159531001024
58,500039704012019
275,500039716002040
212,500239553002034
241,500110110002088
212,500239554001021
207,500239550001037
167,500199517004016
231,500110105002036
233,500110101011005
231,500110105004047
233,500110101012036
228,500130201002006
227,500130201001021
230,500130201003007
208,500239540002001
223,500179595002098
275,500039716002019
184,500159533002031
179,500199520001054
164,500199517001028
165,500199513001055
165,500199512003039
17,500039705002068
53,500039705001032
191,500159535002063
183,500159532001013
167,500199517004003
175,500199516001032
177,500199517002060
171,500199515001015
177,500199517002079
54,500039714001009
167,500199517004018
167,500199517004081
171,500199514003008
230,500130201003006
216,500239540003037
200,500179593001014
192,500179598002061
192,500179598001015
198,500179595001000
200,500179593001053
266,500179590002000
203,500179591022063
10,500019604004017
266,500179590002016
10,500019604004062
88,500099501002051
181,500199516005039
169,500199518003045
84,500099501001198
78,500099505001029
90,500099505003032
89,500099505002072
88,500099501002073
90,500099505001114
199,500179596003028
266,500179590002041
