block2vtd,block_GEOID
669,530110405121028
429,530110423001016
429,530110423001012
619,530110413331019
476,530110408033009
464,530110408102016
585,530110407152000
431,530110425001001
6506,530110405072005
565,530110404072023
585,530110406042013
540,530110408112023
680,530110413253006
153,530050118013002
107,530050108163009
223,530050115012014
124,530050111002001
130,530050111002011
6537,530499503013099
6474,530499504001092
6480,530499504001042
3909,530499504001119
232,530050108141023
644,530110413232001
460,530110411122009
448,530110411124003
6057,530719202001056
6037,530719200001009
595,530110407032011
429,530110423003008
429,530110423001019
6508,530110409051002
279,530050108173016
6478,530499502002028
6475,530499502003008
6538,530499506002047
193,530050107072013
426,530110410071005
149,530050115063019
205,530050117021024
443,530110431004008
443,530110431001008
6045,530719201003051
6505,530110426022008
533,530110404032032
649,530110413321019
498,530110410081007
469,530110410071012
579,530110401011034
6056,530719209022027
585,530110406042017
508,530110403032012
537,530110404111001
615,530110412052000
525,530110401014010
525,530110402021033
442,530110428001021
100,530050108092012
6538,530499505012017
6534,530499505021013
300,530050120001089
6472,530499502003033
6532,530499508011070
6534,530499505022044
215,530050109011018
6478,530499502002030
287,530050108173021
182,530050107031019
300,530050120001092
280,530050108171004
3513,530399501011037
6534,530499505013026
221,530050108112048
116,530050118011005
3513,530399501011156
3527,530399502001059
502,530110404091021
482,530110409091021
623,530110413201001
6029,530719205003005
6046,530719200004189
714,530179504003013
706,530179504001021
6473,530499502001059
117,530050118013095
137,530050110023007
140,530050115051001
146,530050115053017
742,530179501021191
727,530179503005082
202,530050117011096
115,530050118023000
128,530050111001008
4158,530530610023005
4104,530530606001034
460,530110411103011
431,530110419001035
676,530110405041056
6062,530719207013002
6053,530719208023024
1641,530330290042003
2940,530330303101010
6985,530330263001005
1697,530330325002010
3026,530330320083011
1686,530330320032010
1589,530330253022000
3305,530330253031044
7140,530330224022032
7140,530330224021009
7140,530330224021011
7140,530330224021023
1648,530330318003012
7128,530330221012012
2567,530330016002014
1296,530330315021199
2630,530330323163008
2899,530330304032000
7032,530330096003002
6980,530330116011008
2291,530330052023005
3424,530330108003001
2174,530330086001002
6504,530110424002005
6494,530110412082009
516,530110402012029
675,530110405131004
737,530179501023051
715,530179506004009
731,530179502001261
3986,530530732003010
3939,530530732003006
4113,530530612003028
2704,530330319081005
3155,530330323214004
7058,530330242002001
3007,530330324012001
1096,530330308011004
1248,530330315021236
3139,530330312082006
