GEOID,area_land,area_water,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010201001000,173731,0,58.92,19.72,3.34,2.86,1.11,65.44,13.84,0.4,1.35,1.59
150010201001001,25850,0,0,0,0,0,0,0,0,0,0,0
150010201001002,47602,0,0.61,0.2,0.03,0.03,0.01,0.67,0.14,0,0.01,0.02
150010201001003,102521,0,0,0,0,0,0,0,0,0,0,0
150010201001004,76497,0,2.63,0.88,0.15,0.13,0.05,2.92,0.62,0.02,0.06,0.07
150010201001005,297738,0,0.51,0.17,0.03,0.02,0.01,0.56,0.12,0,0.01,0.01
150010201001006,95488,0,0.1,0.03,0.01,0,0,0.11,0.02,0,0,0
150010201001007,196734,0,1.01,0.34,0.06,0.05,0.02,1.12,0.24,0.01,0.02,0.03
150010201001008,162578,0,5.35,1.79,0.3,0.26,0.1,5.95,1.26,0.04,0.12,0.14
150010201001009,20227,0,0,0,0,0,0,0,0,0,0,0
150010201001010,34431,0,0,0,0,0,0,0,0,0,0,0
150010201001011,29015,0,4.56,1.52,0.26,0.22,0.09,5.06,1.07,0.03,0.1,0.12
150010201001012,27157,0,10.43,3.49,0.59,0.51,0.2,11.58,2.45,0.07,0.24,0.28
150010201001013,26079,0,0,0,0,0,0,0,0,0,0,0
150010201001014,24353,0,0,0,0,0,0,0,0,0,0,0
150010201001015,39237,0,0.81,0.27,0.05,0.04,0.02,0.9,0.19,0.01,0.02,0.02
150010201001016,108765,0,1.63,0.55,0.09,0.08,0.03,1.81,0.38,0.01,0.04,0.04
150010201001017,115401,0,9.42,3.15,0.53,0.46,0.18,10.46,2.21,0.06,0.22,0.25
150010201001018,185723,0,4.76,1.59,0.27,0.23,0.09,5.29,1.12,0.03,0.11,0.13
150010201001019,24623,0,18.63,6.23,1.06,0.91,0.35,20.69,4.37,0.13,0.43,0.5
150010201001020,1211607,0,3.34,1.12,0.19,0.16,0.06,3.71,0.78,0.02,0.08,0.09
150010201001021,32294,0,0.4,0.14,0.02,0.02,0.01,0.45,0.1,0,0.01,0.01
150010201001022,102810,0,0.2,0.07,0.01,0.01,0,0.22,0.05,0,0,0.01
150010201001023,16032,0,4.15,1.39,0.24,0.2,0.08,4.61,0.97,0.03,0.1,0.11
150010201001024,26586,0,0,0,0,0,0,0,0,0,0,0
150010201001025,36306,0,0,0,0,0,0,0,0,0,0,0
150010201002000,18786,0,3.75,1.25,0.21,0.18,0.07,4.16,0.88,0.03,0.09,0.1
150010201002001,987187,48050,19.94,6.68,1.13,0.97,0.38,22.15,4.68,0.13,0.46,0.54
150010201002002,724378,0,20.55,6.88,1.16,1,0.39,22.83,4.83,0.14,0.47,0.55
150010201002003,180677,0,5.87,1.97,0.33,0.29,0.11,6.52,1.38,0.04,0.13,0.16
150010201002004,476197,0,1.62,0.54,0.09,0.08,0.03,1.8,0.38,0.01,0.04,0.04
150010201002005,81378,0,0,0,0,0,0,0,0,0,0,0
150010201002006,109890,0,0.51,0.17,0.03,0.02,0.01,0.56,0.12,0,0.01,0.01
150010201002007,291041,0,0,0,0,0,0,0,0,0,0,0
150010201002008,0,2469152,0,0,0,0,0,0,0,0,0,0
150010201002009,105057,0,0,0,0,0,0,0,0,0,0,0
150010201002010,0,14633,0,0,0,0,0,0,0,0,0,0
150010201002011,74948,0,0.91,0.3,0.05,0.04,0.02,1.01,0.21,0.01,0.02,0.02
150010201002012,94934,0,1.82,0.61,0.1,0.09,0.03,2.02,0.43,0.01,0.04,0.05
150010201002013,165230,0,0,0,0,0,0,0,0,0,0,0
150010201002014,3191055,0,13.97,4.68,0.79,0.68,0.26,15.52,3.28,0.09,0.32,0.38
150010201002015,66670,0,0,0,0,0,0,0,0,0,0,0
150010201002016,489041,0,0,0,0,0,0,0,0,0,0,0
150010201002017,1709642,0,35.74,11.96,2.03,1.74,0.68,39.69,8.39,0.24,0.82,0.96
150010201002018,247263,0,1.42,0.47,0.08,0.07,0.03,1.57,0.33,0.01,0.03,0.04
150010201002019,60336915,0,5.47,1.83,0.31,0.27,0.1,6.07,1.28,0.04,0.13,0.15
150010201002020,757172,0,1.11,0.37,0.06,0.05,0.02,1.24,0.26,0.01,0.03,0.03
150010201002021,8470980,0,0,0,0,0,0,0,0,0,0,0
150010201002022,289129,0,0,0,0,0,0,0,0,0,0,0
150010201002023,450014,0,0,0,0,0,0,0,0,0,0,0
150010201002024,747997,0,0,0,0,0,0,0,0,0,0,0
150010201002025,694885,0,0,0,0,0,0,0,0,0,0,0
150010201002026,562552,0,5.57,1.86,0.32,0.27,0.11,6.18,1.31,0.04,0.13,0.15
150010201002027,2129284,0,0,0,0,0,0,0,0,0,0,0
150010201002028,947804,0,2.23,0.75,0.13,0.11,0.04,2.47,0.52,0.02,0.05,0.06
150010201002029,132606,0,0,0,0,0,0,0,0,0,0,0
150010201002030,774925,0,2.83,0.95,0.16,0.14,0.05,3.15,0.67,0.02,0.07,0.08
150010201002031,430497,0,1.72,0.58,0.1,0.08,0.03,1.91,0.4,0.01,0.04,0.05
150010201002032,57535,0,0,0,0,0,0,0,0,0,0,0
150010201002033,0,21288,0,0,0,0,0,0,0,0,0,0
150010201002034,256611,0,4.96,1.66,0.28,0.24,0.09,5.51,1.16,0.03,0.11,0.13
150010201002035,138348,0,0,0,0,0,0,0,0,0,0,0
150010201002036,263678,0,8.2,2.74,0.46,0.4,0.15,9.11,1.93,0.06,0.19,0.22
150010201002037,118850,0,2.94,0.98,0.17,0.14,0.06,3.26,0.69,0.02,0.07,0.08
150010201002038,1011873,0,0,0,0,0,0,0,0,0,0,0
150010201002039,708432,0,0,0,0,0,0,0,0,0,0,0
150010201002040,379711,0,5.77,1.93,0.33,0.28,0.11,6.41,1.36,0.04,0.13,0.16
150010201002041,0,74805,0,0,0,0,0,0,0,0,0,0
150010201002042,128286,0,0,0,0,0,0,0,0,0,0,0
150010201002043,753499,0,6.28,2.1,0.36,0.3,0.12,6.97,1.47,0.04,0.14,0.17
150010201002044,31022,0,0,0,0,0,0,0,0,0,0,0
150010201002045,81400,0,1.42,0.47,0.08,0.07,0.03,1.57,0.33,0.01,0.03,0.04
150010201002046,66011,0,1.72,0.58,0.1,0.08,0.03,1.91,0.4,0.01,0.04,0.05
150010201002047,99299,0,2.83,0.95,0.16,0.14,0.05,3.15,0.67,0.02,0.07,0.08
150010201002048,8979,0,1.82,0.61,0.1,0.09,0.03,2.02,0.43,0.01,0.04,0.05
150010201002049,192201,0,0,0,0,0,0,0,0,0,0,0
150010201002050,15579,0,7.09,2.37,0.4,0.34,0.13,7.87,1.66,0.05,0.16,0.19
150010201002051,155515,0,1.72,0.58,0.1,0.08,0.03,1.91,0.4,0.01,0.04,0.05
150010201002052,6009,0,0.4,0.14,0.02,0.02,0.01,0.45,0.1,0,0.01,0.01
150010201002053,19413,0,0,0,0,0,0,0,0,0,0,0
150010201002054,845480,0,2.94,0.98,0.17,0.14,0.06,3.26,0.69,0.02,0.07,0.08
150010201002055,62084,0,0,0,0,0,0,0,0,0,0,0
150010201002056,261399,0,8.5,2.85,0.48,0.41,0.16,9.45,2,0.06,0.2,0.23
150010201003000,445636,0,0,0,0,0,0,0,0,0,0,0
150010201003001,0,4731634,0,0,0,0,0,0,0,0,0,0
150010201003002,289736,0,14.17,4.74,0.8,0.69,0.27,15.74,3.33,0.1,0.33,0.38
150010201003003,771825,0,3.24,1.08,0.18,0.16,0.06,3.6,0.76,0.02,0.07,0.09
150010201003004,475687,0,0.86,0.31,0.05,0.06,0.01,0.98,0.2,0.01,0.03,0.03
150010201003005,531944,0,12.05,4.03,0.68,0.59,0.23,13.38,2.83,0.08,0.28,0.33
150010201003006,60525,0,0,0,0,0,0,0,0,0,0,0
150010201003007,162965,0,0,0,0,0,0,0,0,0,0,0
150010201003008,0,6441,0,0,0,0,0,0,0,0,0,0
150010201003009,276660,0,4.86,1.63,0.28,0.24,0.09,5.4,1.14,0.03,0.11,0.13
150010201003010,744320,0,1.92,0.64,0.11,0.09,0.04,2.14,0.45,0.01,0.04,0.05
150010201003011,79211,0,0,0,0,0,0,0,0,0,0,0
150010201003012,90432,0,1.42,0.47,0.08,0.07,0.03,1.57,0.33,0.01,0.03,0.04
150010201003013,193586,0,0.66,0.22,0.04,0.03,0.01,0.73,0.15,0,0.02,0.02
150010201003014,3052432,0,91.27,30.55,5.17,4.43,1.72,101.37,21.43,0.62,2.09,2.46
150010201003015,130398,0,1.62,0.54,0.09,0.08,0.03,1.8,0.38,0.01,0.04,0.04
150010201003016,41311,0,0,0,0,0,0,0,0,0,0,0
150010201003017,661291,0,4.15,1.39,0.24,0.2,0.08,4.61,0.97,0.03,0.1,0.11
150010201003018,868800,0,25.31,8.47,1.43,1.23,0.48,28.11,5.94,0.17,0.58,0.68
150010201003019,1813848,0,21.02,7.04,1.19,1.02,0.4,23.35,4.94,0.14,0.48,0.57
150010201003020,61537659,0,348.54,121.94,19.05,21.26,5.38,393.19,80.51,2.34,9.55,10.8
150010201003021,49638,0,0,0,0,0,0,0,0,0,0,0
150010201003022,368361,0,0.91,0.3,0.05,0.04,0.02,1.01,0.21,0.01,0.02,0.02
150010201003023,220861,0,0,0,0,0,0,0,0,0,0,0
150010201003024,108468,0,1.03,0.37,0.06,0.07,0.01,1.18,0.24,0.01,0.03,0.03
150010201003025,40348,0,2.23,0.75,0.13,0.11,0.04,2.47,0.52,0.02,0.05,0.06
150010201003026,216090,0,3.64,1.22,0.21,0.18,0.07,4.05,0.86,0.02,0.08,0.1
150010201003027,865308,4144,18.12,6.07,1.03,0.88,0.34,20.13,4.26,0.12,0.42,0.49
150010201003028,46716,0,2.27,0.76,0.13,0.11,0.04,2.52,0.53,0.02,0.05,0.06
150010201003029,43327,0,0,0,0,0,0,0,0,0,0,0
150010201003030,267703,0,3.91,1.31,0.22,0.19,0.07,4.34,0.92,0.03,0.09,0.11
150010201003031,101583,0,1.32,0.44,0.07,0.06,0.02,1.46,0.31,0.01,0.03,0.04
150010201003032,119673,0,1.01,0.34,0.06,0.05,0.02,1.12,0.24,0.01,0.02,0.03
150010201003033,16531,0,2.63,0.88,0.15,0.13,0.05,2.92,0.62,0.02,0.06,0.07
150010201003034,431174,0,2.43,0.81,0.14,0.12,0.05,2.7,0.57,0.02,0.06,0.07
150010201003035,571535,0,12.87,4.31,0.73,0.63,0.24,14.3,3.02,0.09,0.3,0.35
150010201003036,517550,0,13.57,4.54,0.77,0.66,0.26,15.07,3.19,0.09,0.31,0.37
150010201003037,468894,0,1.82,0.61,0.1,0.09,0.03,2.02,0.43,0.01,0.04,0.05
150010201003038,1142691,0,16.1,5.39,0.91,0.78,0.3,17.88,3.78,0.11,0.37,0.43
150010201003039,1019484,0,18.93,6.34,1.07,0.92,0.36,21.03,4.45,0.13,0.43,0.51
150010201003040,614601,0,9.86,3.3,0.56,0.48,0.19,10.95,2.31,0.07,0.23,0.27
150010201003041,546473,0,4.96,1.66,0.28,0.24,0.09,5.51,1.16,0.03,0.11,0.13
150010201003042,322394,0,2.83,0.95,0.16,0.14,0.05,3.15,0.67,0.02,0.07,0.08
150010201003043,51421341,0,50.04,17.96,2.67,3.42,0.67,56.97,11.44,0.33,1.5,1.67
150010201003044,1806039,0,27.01,9.69,1.44,1.85,0.36,30.75,6.18,0.18,0.81,0.9
150010201003045,2238544,0,1.03,0.37,0.06,0.07,0.01,1.18,0.24,0.01,0.03,0.03
150010201003046,17338,0,0,0,0,0,0,0,0,0,0,0
150010201003047,2054,0,0.81,0.29,0.04,0.06,0.01,0.92,0.19,0.01,0.02,0.03
150010201003048,347416,0,18.11,6.5,0.97,1.24,0.24,20.62,4.14,0.12,0.54,0.6
150010201003049,0,47235,0,0,0,0,0,0,0,0,0,0
150010201003050,0,886799,0,0,0,0,0,0,0,0,0,0
150010201003051,0,14250,0,0,0,0,0,0,0,0,0,0
150010201003052,218552,0,8.09,2.9,0.43,0.55,0.11,9.21,1.85,0.05,0.24,0.27
150010201003053,1904871,0,31.48,11.3,1.68,2.15,0.42,35.84,7.2,0.21,0.95,1.05
150010201003054,1625231,0,9.14,3.28,0.49,0.63,0.12,10.41,2.09,0.06,0.27,0.31
150010201003055,260526,0,0.03,0.01,0,0,0,0.04,0.01,0,0,0
150010201003056,362975,0,0.26,0.09,0.01,0.02,0,0.3,0.06,0,0.01,0.01
150010201003057,93596,0,6.37,2.28,0.34,0.44,0.09,7.25,1.46,0.04,0.19,0.21
150010201003058,124001,0,0.39,0.14,0.02,0.03,0.01,0.44,0.09,0,0.01,0.01
150010201003059,82800,0,0,0,0,0,0,0,0,0,0,0
150010201003060,564742,0,6.42,2.3,0.34,0.44,0.09,7.31,1.47,0.04,0.19,0.21
150010201003061,0,251314,0,0,0,0,0,0,0,0,0,0
150010201003062,211979,3464,2.41,0.86,0.13,0.16,0.03,2.74,0.55,0.02,0.07,0.08
150010201003063,59531,3984,0.79,0.25,0.06,0.03,0.01,0.85,0.17,0.01,0.02,0.04
150010201003064,223420,0,3.04,1.09,0.16,0.21,0.04,3.47,0.7,0.02,0.09,0.1
150010201003065,734719,0,20.3,7.29,1.08,1.39,0.27,23.11,4.64,0.14,0.61,0.68
150010201003066,2306193,0,22.88,8.21,1.22,1.57,0.31,26.05,5.23,0.15,0.69,0.76
150010201003067,2297793,0,13.59,4.88,0.73,0.93,0.18,15.47,3.11,0.09,0.41,0.45
150010201003068,194289,0,5.68,2.04,0.3,0.39,0.08,6.46,1.3,0.04,0.17,0.19
150010201003069,107721,0,0,0,0,0,0,0,0,0,0,0
150010201003070,43219,0,6.19,2.22,0.33,0.42,0.08,7.05,1.42,0.04,0.19,0.21
150010201003071,83989,0,0,0,0,0,0,0,0,0,0,0
150010201003072,224302,0,2.58,0.93,0.14,0.18,0.03,2.94,0.59,0.02,0.08,0.09
150010201003073,10172,0,2.06,0.74,0.11,0.14,0.03,2.35,0.47,0.01,0.06,0.07
150010201003074,0,15986,0,0,0,0,0,0,0,0,0,0
150010201003075,351431,0,0,0,0,0,0,0,0,0,0,0
150010201003076,269669,0,4.3,1.54,0.23,0.29,0.06,4.9,0.98,0.03,0.13,0.14
150010201003077,133547,0,0.52,0.19,0.03,0.04,0.01,0.59,0.12,0,0.02,0.02
150010201003078,178918,0,0,0,0,0,0,0,0,0,0,0
150010201003079,179903,0,0,0,0,0,0,0,0,0,0,0
