GEOID,area_land,area_water,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010201001000,173731,0,63.96,15.36,56.52,19.55,2.06,0.95
150010201001001,25850,0,0,0,0,0,0,0
150010201001002,47602,0,0.66,0.16,0.58,0.2,0.02,0.01
150010201001003,102521,0,0,0,0,0,0,0
150010201001004,76497,0,2.86,0.69,2.53,0.87,0.09,0.04
150010201001005,297738,0,0.55,0.13,0.49,0.17,0.02,0.01
150010201001006,95488,0,0.11,0.03,0.1,0.03,0,0
150010201001007,196734,0,1.1,0.26,0.97,0.34,0.04,0.02
150010201001008,162578,0,5.81,1.4,5.14,1.78,0.19,0.09
150010201001009,20227,0,0,0,0,0,0,0
150010201001010,34431,0,0,0,0,0,0,0
150010201001011,29015,0,4.95,1.19,4.37,1.51,0.16,0.07
150010201001012,27157,0,11.32,2.72,10,3.46,0.36,0.17
150010201001013,26079,0,0,0,0,0,0,0
150010201001014,24353,0,0,0,0,0,0,0
150010201001015,39237,0,0.88,0.21,0.78,0.27,0.03,0.01
150010201001016,108765,0,1.77,0.43,1.57,0.54,0.06,0.03
150010201001017,115401,0,10.22,2.45,9.03,3.12,0.33,0.15
150010201001018,185723,0,5.17,1.24,4.56,1.58,0.17,0.08
150010201001019,24623,0,20.22,4.86,17.87,6.18,0.65,0.3
150010201001020,1211607,0,3.63,0.87,3.2,1.11,0.12,0.05
150010201001021,32294,0,0.44,0.11,0.39,0.13,0.01,0.01
150010201001022,102810,0,0.22,0.05,0.19,0.07,0.01,0
150010201001023,16032,0,4.51,1.08,3.98,1.38,0.14,0.07
150010201001024,26586,0,0,0,0,0,0,0
150010201001025,36306,0,0,0,0,0,0,0
150010201002000,18786,0,4.07,0.98,3.59,1.24,0.13,0.06
150010201002001,987187,48050,21.65,5.2,19.13,6.62,0.7,0.32
150010201002002,724378,0,22.31,5.36,19.71,6.82,0.72,0.33
150010201002003,180677,0,6.37,1.53,5.63,1.95,0.21,0.09
150010201002004,476197,0,1.76,0.42,1.55,0.54,0.06,0.03
150010201002005,81378,0,0,0,0,0,0,0
150010201002006,109890,0,0.55,0.13,0.49,0.17,0.02,0.01
150010201002007,291041,0,0,0,0,0,0,0
150010201002008,0,2469152,0.55,0.13,0.49,0.17,0.02,0.01
150010201002009,105057,0,0,0,0,0,0,0
150010201002010,0,14633,0,0,0,0,0,0
150010201002011,74948,0,0.99,0.24,0.87,0.3,0.03,0.01
150010201002012,94934,0,1.98,0.47,1.75,0.6,0.06,0.03
150010201002013,165230,0,0,0,0,0,0,0
150010201002014,3191055,0,15.17,3.64,13.4,4.64,0.49,0.23
150010201002015,66670,0,0,0,0,0,0,0
150010201002016,489041,0,0,0,0,0,0,0
150010201002017,1709642,0,38.8,9.31,34.28,11.86,1.25,0.58
150010201002018,247263,0,1.54,0.37,1.36,0.47,0.05,0.02
150010201002019,60336915,0,5.93,1.42,5.24,1.81,0.19,0.09
150010201002020,757172,0,1.21,0.29,1.07,0.37,0.04,0.02
150010201002021,8470980,0,0,0,0,0,0,0
150010201002022,289129,0,0,0,0,0,0,0
150010201002023,450014,0,0,0,0,0,0,0
150010201002024,747997,0,0,0,0,0,0,0
150010201002025,694885,0,0,0,0,0,0,0
150010201002026,562552,0,6.04,1.45,5.34,1.85,0.19,0.09
150010201002027,2129284,0,0,0,0,0,0,0
150010201002028,947804,0,2.42,0.58,2.14,0.74,0.08,0.04
150010201002029,132606,0,0,0,0,0,0,0
150010201002030,774925,0,3.08,0.74,2.72,0.94,0.1,0.05
150010201002031,430497,0,1.87,0.45,1.65,0.57,0.06,0.03
150010201002032,57535,0,0,0,0,0,0,0
150010201002033,0,21288,0,0,0,0,0,0
150010201002034,256611,0,5.39,1.29,4.76,1.65,0.17,0.08
150010201002035,138348,0,0,0,0,0,0,0
150010201002036,263678,0,8.9,2.14,7.87,2.72,0.29,0.13
150010201002037,118850,0,3.19,0.77,2.82,0.97,0.1,0.05
150010201002038,1011873,0,0,0,0,0,0,0
150010201002039,708432,0,0,0,0,0,0,0
150010201002040,379711,0,6.26,1.5,5.54,1.91,0.2,0.09
150010201002041,0,74805,1.43,0.34,1.26,0.44,0.05,0.02
150010201002042,128286,0,0,0,0,0,0,0
150010201002043,753499,0,6.81,1.64,6.02,2.08,0.22,0.1
150010201002044,31022,0,0,0,0,0,0,0
150010201002045,81400,0,1.54,0.37,1.36,0.47,0.05,0.02
