GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47001000001,47,001,000001,1070.08,201.71,1.77,28.26,0.87,6.13,4.43,3.49
47001000002,47,001,000002,242.23,41.87,2.99,4.98,0,1,0,0
47001000003,47,001,000003,1335.71,410.52,2.86,72.94,1.93,12.48,5.87,8.7
47001000004,47,001,000004,1332.88,392.34,2.04,53.78,0.02,8.13,5.07,8.08
47001000005,47,001,000005,1393.68,575.33,5.14,50.46,2.09,19.59,8.27,4.41
47001000006,47,001,000006,788.84,280.24,1.98,33.07,3.97,7,7.02,8.99
47001000007,47,001,000007,468.73,91.59,1.04,9.79,0.04,1.16,3.04,0.04
47001000008,47,001,000008,278.76,75.74,0.02,11.32,0.04,2.07,0.07,1.09
47001000009,47,001,000009,1015.01,877.58,0.98,86.38,2.94,14.72,18.65,17.67
47001000010,47,001,000010,543,117,1,12,0,6,1,2
47001000011,47,001,000011,1146.27,317.82,3.1,48.62,1.94,8.89,4.32,1.97
47001000012,47,001,000012,763,608,4,75,5,6,22,9
47001000013,47,001,000013,853.91,789.47,3,77.44,2.02,10.05,10.11,12.08
47001000014,47,001,000014,299,278,2,28,1,3,4,7
47001000015,47,001,000015,303.02,91,4,14,2,4,3,0
47001000016,47,001,000016,1214.59,249.45,2,18.09,1,7.98,3.99,3.98
47001000017,47,001,000017,505,111,3,13,1,1,0,3
47001000018,47,001,000018,539.58,368.73,3.05,35.73,0.13,2.76,7.15,0.51
47001000019,47,001,000019,835.78,251.62,2.05,31.03,3.06,11.22,10.1,2.08
47001000020,47,001,000020,918.71,269.24,5.05,40.34,1.01,9.07,10.07,5.08
47001000021,47,001,000021,322.18,518.07,0,32.81,1.99,0,6.96,3.98
47001000022,47,001,000022,748,606,5,84,2,8,22,4
47001000023,47,001,000023,492.32,430.77,6.95,45.66,1.99,8.93,9.93,10.92
47001000024,47,001,000024,53.75,27.12,2.01,0.02,0,1,0,0
47001000025,47,001,000025,657.48,172.68,0.98,29.26,1.95,6.83,1.95,2.93
47001000026,47,001,000026,689.94,535.17,1.86,65.26,1.86,3.73,12.12,11.19
47001000027,47,001,000027,350,286,6,28,2,3,7,10
47003000101,47,003,000101,987.56,237.56,2.03,27.29,1,2.03,4.11,0.02
47003000102,47,003,000102,790.76,212.13,1,41.83,1.99,2.99,7.97,0
47003000103,47,003,000103,1609.59,312.43,3.04,31.17,0,9.86,7.15,1.97
47003000104,47,003,000104,1451.95,285.06,0.99,31.53,1.97,1.98,8.87,4.92
47003000105,47,003,000105,1602.05,311.94,4.01,20.47,0.03,6.02,6.13,1.08
47003000106,47,003,000106,1315.05,271.59,1.01,31.98,1,5.99,5.02,0
47003000107,47,003,000107,663.46,146.63,0.02,17.11,0,3,4,4.98
47003000108,47,003,000108,480.04,363.2,3.87,23.37,0.01,1.96,7.76,0
47003000109,47,003,000109,836.5,444.43,1,33.97,1,3.99,7.99,0
47003000110,47,003,000110,727.05,414.29,1.93,15.57,0,1.12,5.75,0.04
47003000111,47,003,000111,1025.44,396.02,6.12,31.71,1,8.06,10.24,0
47005000201,47,005,000201,784,265,1,18,2,1,5,0
47005000202,47,005,000202,781.09,246.71,4,12.98,3,4.99,0,0
47005000203,47,005,000203,725.91,228.29,2,15.02,0,0.01,2,0
47005000204,47,005,000204,848.35,213.54,2.01,9.09,0,0,3.01,1
47005000205,47,005,000205,760,270,2,15,4,2,1,0
47005000206,47,005,000206,819,251,1,13,4,3,3,4
47007000301,47,007,000301,445,54,2,11,1,0,2,0
47007000302,47,007,000302,357.62,39.03,0,5.6,0,6,2.12,0.12
47007000303,47,007,000303,379,98,0,9,0,0,0,3
47007000304,47,007,000304,150,56,1,5,1,0,0,0
47007000305,47,007,000305,84,42,1,4,0,0,1,1
47007000306,47,007,000306,112,62,0,7,0,0,0,0
47007000307,47,007,000307,252.03,32.49,0,8.09,0,0,2,0
47007000308,47,007,000308,499,168,1,9,1,0,6,1
47007000309,47,007,000309,285,56,0,11,0,2,0,2
47007000310,47,007,000310,208.97,33.51,0,5.91,0,0,0,0
47007000311,47,007,000311,414,198,1,9,1,1,5,2
47007000312,47,007,000312,461,61,1,11,0,0,0,3
47009000401,47,009,000401,1020.85,335.95,2,34.99,6,11,6,9
47009000402,47,009,000402,1464.72,320.02,1,45.09,1.01,3.05,8.01,7.01
47009000403,47,009,000403,1433.77,554.47,0,86.36,0.98,11.78,12.76,7.85
47009000404,47,009,000404,1230,637,4,109,3,4,18,20
47009000405,47,009,000405,1286,270,6,39,1,8,7,8
47009000406,47,009,000406,899.63,377.67,2.02,36.2,1.01,6.02,13.02,12.03
47009000407,47,009,000407,323.72,76.98,0.99,7.9,0.99,3.95,0.99,0.99
47009000408,47,009,000408,1500.44,594.8,7.11,93.86,5.06,11.14,20.22,23.13
